date,how to unfollow someone on twitter,how to unfollow on twitter
2011-01-01,6,26
2011-02-01,7,36
2011-03-01,6,49
2011-04-01,12,55
2011-05-01,16,50
2011-06-01,13,46
2011-07-01,8,60
2011-08-01,19,67
2011-09-01,15,52
2011-10-01,17,56
2011-11-01,13,64
2011-12-01,17,82
2012-01-01,19,88
2012-02-01,22,80
2012-03-01,15,66
2012-04-01,22,67
2012-05-01,17,84
2012-06-01,18,92
2012-07-01,11,100
2012-08-01,13,96
2012-09-01,14,74
2012-10-01,10,83
2012-11-01,19,94
2012-12-01,21,66
2013-01-01,20,94
2013-02-01,15,81
2013-03-01,15,75
2013-04-01,18,70
2013-05-01,18,72
2013-06-01,12,71
2013-07-01,16,83
2013-08-01,14,76
2013-09-01,13,59
2013-10-01,14,70
2013-11-01,14,54
2013-12-01,13,66
2014-01-01,17,79
2014-02-01,18,73
2014-03-01,16,64
2014-04-01,15,67
2014-05-01,12,67
2014-06-01,21,74
2014-07-01,15,68
2014-08-01,17,71
2014-09-01,12,63
2014-10-01,13,56
2014-11-01,13,70
2014-12-01,15,59
2015-01-01,14,64
2015-02-01,11,63
2015-03-01,14,64
2015-04-01,14,61
2015-05-01,14,59
2015-06-01,16,64
2015-07-01,17,65
2015-08-01,12,62
2015-09-01,12,57
2015-10-01,14,50
2015-11-01,14,56
2015-12-01,12,58
2016-01-01,12,60
2016-02-01,8,54
2016-03-01,11,49
2016-04-01,11,54
2016-05-01,11,51
2016-06-01,15,67
2016-07-01,16,74
2016-08-01,8,56
2016-09-01,9,49
2016-10-01,12,50
2016-11-01,11,57
2016-12-01,9,57
2017-01-01,15,69
