date,incognito mode on iphone,how to browse anonymously
2011-01-01,0,45
2011-02-01,0,34
2011-03-01,0,15
2011-04-01,0,21
2011-05-01,0,27
2011-06-01,0,52
2011-07-01,0,63
2011-08-01,0,59
2011-09-01,0,68
2011-10-01,0,34
2011-11-01,0,27
2011-12-01,7,34
2012-01-01,6,62
2012-02-01,6,51
2012-03-01,6,71
2012-04-01,13,35
2012-05-01,6,39
2012-06-01,6,49
2012-07-01,6,49
2012-08-01,6,39
2012-09-01,6,63
2012-10-01,8,52
2012-11-01,5,76
2012-12-01,8,60
2013-01-01,6,47
2013-02-01,6,41
2013-03-01,5,36
2013-04-01,15,62
2013-05-01,12,77
2013-06-01,15,67
2013-07-01,5,63
2013-08-01,17,65
2013-09-01,12,72
2013-10-01,7,41
2013-11-01,5,55
2013-12-01,7,62
2014-01-01,9,60
2014-02-01,7,68
2014-03-01,8,69
2014-04-01,11,79
2014-05-01,13,48
2014-06-01,17,88
2014-07-01,17,100
2014-08-01,10,86
2014-09-01,16,46
2014-10-01,15,61
2014-11-01,13,58
2014-12-01,13,87
2015-01-01,14,62
2015-02-01,9,46
2015-03-01,20,63
2015-04-01,8,74
2015-05-01,20,50
2015-06-01,31,54
2015-07-01,14,71
2015-08-01,26,100
2015-09-01,16,90
2015-10-01,22,73
2015-11-01,15,55
2015-12-01,14,35
2016-01-01,20,50
2016-02-01,22,55
2016-03-01,15,42
2016-04-01,30,42
2016-05-01,21,48
2016-06-01,21,55
2016-07-01,32,79
2016-08-01,21,51
2016-09-01,60,55
2016-10-01,43,53
2016-11-01,51,53
2016-12-01,28,65
2017-01-01,17,60
