date,incognito chrome,how to browse anonymously
2011-01-01,35,1
2011-02-01,41,1
2011-03-01,38,1
2011-04-01,38,0
2011-05-01,43,1
2011-06-01,46,1
2011-07-01,45,1
2011-08-01,50,1
2011-09-01,45,2
2011-10-01,47,1
2011-11-01,51,1
2011-12-01,53,1
2012-01-01,52,2
2012-02-01,60,1
2012-03-01,60,1
2012-04-01,60,1
2012-05-01,67,1
2012-06-01,63,1
2012-07-01,76,2
2012-08-01,80,1
2012-09-01,71,1
2012-10-01,71,1
2012-11-01,67,1
2012-12-01,67,2
2013-01-01,70,1
2013-02-01,71,1
2013-03-01,71,1
2013-04-01,82,2
2013-05-01,83,2
2013-06-01,88,2
2013-07-01,89,2
2013-08-01,85,2
2013-09-01,83,2
2013-10-01,83,1
2013-11-01,88,1
2013-12-01,87,2
2014-01-01,97,1
2014-02-01,92,2
2014-03-01,86,2
2014-04-01,84,2
2014-05-01,78,1
2014-06-01,81,2
2014-07-01,91,2
2014-08-01,90,2
2014-09-01,90,2
2014-10-01,91,2
2014-11-01,82,2
2014-12-01,86,2
2015-01-01,100,2
2015-02-01,82,1
2015-03-01,78,2
2015-04-01,80,2
2015-05-01,78,1
2015-06-01,79,1
2015-07-01,82,2
2015-08-01,86,3
2015-09-01,83,2
2015-10-01,78,2
2015-11-01,70,1
2015-12-01,79,1
2016-01-01,78,1
2016-02-01,72,2
2016-03-01,76,1
2016-04-01,77,1
2016-05-01,77,1
2016-06-01,76,1
2016-07-01,76,2
2016-08-01,78,1
2016-09-01,92,1
2016-10-01,79,1
2016-11-01,82,2
2016-12-01,96,1
2017-01-01,89,2
