date,anonymous web proxy,how to browse anonymously
2011-01-01,88,9
2011-02-01,100,6
2011-03-01,89,6
2011-04-01,88,4
2011-05-01,75,8
2011-06-01,84,11
2011-07-01,92,12
2011-08-01,68,13
2011-09-01,91,14
2011-10-01,67,7
2011-11-01,77,6
2011-12-01,68,9
2012-01-01,56,14
2012-02-01,66,9
2012-03-01,65,13
2012-04-01,58,12
2012-05-01,57,9
2012-06-01,70,10
2012-07-01,58,15
2012-08-01,59,10
2012-09-01,62,13
2012-10-01,56,13
2012-11-01,71,12
2012-12-01,54,14
2013-01-01,54,12
2013-02-01,57,10
2013-03-01,46,11
2013-04-01,49,16
2013-05-01,47,15
2013-06-01,54,18
2013-07-01,51,14
2013-08-01,39,17
2013-09-01,54,16
2013-10-01,43,10
2013-11-01,42,13
2013-12-01,43,15
2014-01-01,42,13
2014-02-01,42,17
2014-03-01,41,16
2014-04-01,39,18
2014-05-01,43,13
2014-06-01,44,19
2014-07-01,40,20
2014-08-01,49,22
2014-09-01,49,14
2014-10-01,38,15
2014-11-01,42,16
2014-12-01,45,17
2015-01-01,36,15
2015-02-01,32,12
2015-03-01,34,15
2015-04-01,43,15
2015-05-01,33,12
2015-06-01,37,11
2015-07-01,35,17
2015-08-01,38,23
2015-09-01,30,18
2015-10-01,34,15
2015-11-01,39,11
2015-12-01,32,10
2016-01-01,36,12
2016-02-01,27,15
2016-03-01,26,11
2016-04-01,25,10
2016-05-01,21,11
2016-06-01,23,11
2016-07-01,23,15
2016-08-01,22,12
2016-09-01,27,11
2016-10-01,23,12
2016-11-01,27,15
2016-12-01,29,13
2017-01-01,23,15
