date,incognito safari,how to browse anonymously
2011-01-01,11,5
2011-02-01,8,4
2011-03-01,12,4
2011-04-01,11,3
2011-05-01,11,5
2011-06-01,15,7
2011-07-01,22,7
2011-08-01,16,8
2011-09-01,16,8
2011-10-01,21,4
2011-11-01,18,4
2011-12-01,24,5
2012-01-01,17,8
2012-02-01,17,5
2012-03-01,22,8
2012-04-01,25,7
2012-05-01,17,6
2012-06-01,26,6
2012-07-01,29,9
2012-08-01,43,6
2012-09-01,43,7
2012-10-01,35,8
2012-11-01,33,7
2012-12-01,47,9
2013-01-01,44,7
2013-02-01,39,6
2013-03-01,47,7
2013-04-01,48,9
2013-05-01,53,9
2013-06-01,55,10
2013-07-01,70,9
2013-08-01,69,10
2013-09-01,73,9
2013-10-01,66,6
2013-11-01,62,8
2013-12-01,70,9
2014-01-01,64,8
2014-02-01,61,10
2014-03-01,68,10
2014-04-01,62,10
2014-05-01,60,7
2014-06-01,72,11
2014-07-01,83,12
2014-08-01,93,13
2014-09-01,95,8
2014-10-01,100,9
2014-11-01,87,9
2014-12-01,92,10
2015-01-01,74,9
2015-02-01,74,7
2015-03-01,75,9
2015-04-01,79,9
2015-05-01,68,7
2015-06-01,79,7
2015-07-01,78,10
2015-08-01,79,14
2015-09-01,69,11
2015-10-01,63,9
2015-11-01,64,7
2015-12-01,71,6
2016-01-01,65,7
2016-02-01,65,9
2016-03-01,67,6
2016-04-01,73,6
2016-05-01,65,7
2016-06-01,70,7
2016-07-01,72,9
2016-08-01,71,7
2016-09-01,78,7
2016-10-01,71,7
2016-11-01,73,9
2016-12-01,66,8
2017-01-01,71,9
