date,best privacy browser,how to browse anonymously
2011-01-01,19,38
2011-02-01,11,28
2011-03-01,20,28
2011-04-01,22,19
2011-05-01,23,33
2011-06-01,18,50
2011-07-01,16,54
2011-08-01,22,56
2011-09-01,19,62
2011-10-01,23,29
2011-11-01,14,27
2011-12-01,27,38
2012-01-01,45,62
2012-02-01,43,38
2012-03-01,79,57
2012-04-01,34,53
2012-05-01,23,41
2012-06-01,43,43
2012-07-01,38,64
2012-08-01,32,44
2012-09-01,22,55
2012-10-01,29,56
2012-11-01,25,54
2012-12-01,29,63
2013-01-01,36,52
2013-02-01,27,46
2013-03-01,45,50
2013-04-01,31,69
2013-05-01,38,64
2013-06-01,26,77
2013-07-01,61,63
2013-08-01,56,75
2013-09-01,50,69
2013-10-01,36,43
2013-11-01,36,58
2013-12-01,46,64
2014-01-01,38,55
2014-02-01,40,73
2014-03-01,55,71
2014-04-01,40,77
2014-05-01,46,55
2014-06-01,43,82
2014-07-01,44,89
2014-08-01,50,94
2014-09-01,62,60
2014-10-01,62,66
2014-11-01,53,69
2014-12-01,53,75
2015-01-01,57,66
2015-02-01,51,54
2015-03-01,57,65
2015-04-01,68,68
2015-05-01,62,52
2015-06-01,61,50
2015-07-01,56,76
2015-08-01,85,100
2015-09-01,80,78
2015-10-01,69,64
2015-11-01,79,50
2015-12-01,59,45
2016-01-01,77,51
2016-02-01,68,66
2016-03-01,66,47
2016-04-01,70,46
2016-05-01,64,50
2016-06-01,63,48
2016-07-01,81,67
2016-08-01,65,52
2016-09-01,63,49
2016-10-01,67,54
2016-11-01,93,65
2016-12-01,83,57
2017-01-01,85,64
