date,incognito google,how to browse anonymously
2011-01-01,31,1
2011-02-01,30,1
2011-03-01,30,1
2011-04-01,30,1
2011-05-01,32,1
2011-06-01,37,1
2011-07-01,39,2
2011-08-01,39,2
2011-09-01,33,2
2011-10-01,38,1
2011-11-01,38,1
2011-12-01,39,1
2012-01-01,43,2
2012-02-01,44,1
2012-03-01,49,2
2012-04-01,47,2
2012-05-01,52,1
2012-06-01,53,1
2012-07-01,61,2
2012-08-01,61,1
2012-09-01,55,2
2012-10-01,58,2
2012-11-01,54,2
2012-12-01,55,2
2013-01-01,57,1
2013-02-01,55,1
2013-03-01,56,1
2013-04-01,71,2
2013-05-01,63,2
2013-06-01,66,2
2013-07-01,70,2
2013-08-01,70,2
2013-09-01,71,2
2013-10-01,67,1
2013-11-01,100,2
2013-12-01,71,2
2014-01-01,78,2
2014-02-01,86,2
2014-03-01,70,2
2014-04-01,69,2
2014-05-01,65,2
2014-06-01,65,2
2014-07-01,71,3
2014-08-01,72,3
2014-09-01,71,2
2014-10-01,73,2
2014-11-01,68,2
2014-12-01,69,2
2015-01-01,81,2
2015-02-01,70,2
2015-03-01,64,2
2015-04-01,67,2
2015-05-01,71,1
2015-06-01,67,1
2015-07-01,66,2
2015-08-01,73,3
2015-09-01,75,2
2015-10-01,74,2
2015-11-01,69,1
2015-12-01,76,1
2016-01-01,72,1
2016-02-01,69,2
2016-03-01,69,1
2016-04-01,72,1
2016-05-01,73,1
2016-06-01,72,1
2016-07-01,72,2
2016-08-01,74,1
2016-09-01,86,1
2016-10-01,83,2
2016-11-01,86,2
2016-12-01,91,2
2017-01-01,86,2
