date,incognito mode firefox,how to browse anonymously
2011-01-01,14,21
2011-02-01,29,16
2011-03-01,29,16
2011-04-01,29,11
2011-05-01,29,19
2011-06-01,21,28
2011-07-01,25,31
2011-08-01,21,32
2011-09-01,22,35
2011-10-01,21,17
2011-11-01,25,16
2011-12-01,34,22
2012-01-01,27,35
2012-02-01,41,22
2012-03-01,37,32
2012-04-01,24,30
2012-05-01,48,23
2012-06-01,45,24
2012-07-01,35,37
2012-08-01,64,25
2012-09-01,79,31
2012-10-01,79,32
2012-11-01,93,31
2012-12-01,81,36
2013-01-01,98,30
2013-02-01,78,26
2013-03-01,65,28
2013-04-01,100,39
2013-05-01,93,36
2013-06-01,78,44
2013-07-01,88,36
2013-08-01,91,42
2013-09-01,79,39
2013-10-01,95,25
2013-11-01,88,33
2013-12-01,64,36
2014-01-01,64,31
2014-02-01,75,41
2014-03-01,90,40
2014-04-01,85,44
2014-05-01,68,31
2014-06-01,62,47
2014-07-01,74,51
2014-08-01,78,54
2014-09-01,56,34
2014-10-01,56,38
2014-11-01,61,39
2014-12-01,50,43
2015-01-01,52,38
2015-02-01,43,31
2015-03-01,58,37
2015-04-01,61,39
2015-05-01,57,29
2015-06-01,42,29
2015-07-01,61,43
2015-08-01,58,57
2015-09-01,48,44
2015-10-01,48,36
2015-11-01,47,29
2015-12-01,49,25
2016-01-01,36,29
2016-02-01,38,37
2016-03-01,41,27
2016-04-01,42,26
2016-05-01,45,28
2016-06-01,34,27
2016-07-01,31,38
2016-08-01,41,30
2016-09-01,37,28
2016-10-01,39,31
2016-11-01,40,37
2016-12-01,36,32
2017-01-01,46,36
