date,proxy sites for youtube,how to browse anonymously
2011-01-01,15,5
2011-02-01,15,4
2011-03-01,16,4
2011-04-01,17,3
2011-05-01,17,5
2011-06-01,13,7
2011-07-01,10,8
2011-08-01,11,8
2011-09-01,16,9
2011-10-01,14,4
2011-11-01,17,4
2011-12-01,20,5
2012-01-01,17,9
2012-02-01,15,5
2012-03-01,24,8
2012-04-01,16,7
2012-05-01,22,6
2012-06-01,14,6
2012-07-01,15,9
2012-08-01,13,6
2012-09-01,40,8
2012-10-01,96,8
2012-11-01,100,8
2012-12-01,47,9
2013-01-01,56,7
2013-02-01,83,6
2013-03-01,65,7
2013-04-01,41,10
2013-05-01,40,9
2013-06-01,39,11
2013-07-01,45,9
2013-08-01,43,10
2013-09-01,46,10
2013-10-01,37,6
2013-11-01,45,8
2013-12-01,45,9
2014-01-01,46,8
2014-02-01,55,10
2014-03-01,43,10
2014-04-01,43,11
2014-05-01,37,8
2014-06-01,37,11
2014-07-01,27,12
2014-08-01,37,13
2014-09-01,32,8
2014-10-01,35,9
2014-11-01,28,10
2014-12-01,36,10
2015-01-01,24,9
2015-02-01,17,8
2015-03-01,29,9
2015-04-01,23,9
2015-05-01,21,7
2015-06-01,18,7
2015-07-01,18,11
2015-08-01,21,14
2015-09-01,17,11
2015-10-01,19,9
2015-11-01,20,7
2015-12-01,18,6
2016-01-01,21,7
2016-02-01,16,9
2016-03-01,17,7
2016-04-01,20,6
2016-05-01,21,7
2016-06-01,20,7
2016-07-01,16,9
2016-08-01,20,7
2016-09-01,18,7
2016-10-01,21,8
2016-11-01,19,9
2016-12-01,17,8
2017-01-01,15,9
