date,incognito mode chrome,how to browse anonymously
2011-01-01,18,5
2011-02-01,25,4
2011-03-01,22,4
2011-04-01,21,2
2011-05-01,21,4
2011-06-01,23,6
2011-07-01,28,7
2011-08-01,30,7
2011-09-01,17,8
2011-10-01,26,4
2011-11-01,31,3
2011-12-01,31,5
2012-01-01,29,8
2012-02-01,35,5
2012-03-01,37,7
2012-04-01,40,7
2012-05-01,41,5
2012-06-01,37,5
2012-07-01,54,8
2012-08-01,57,6
2012-09-01,52,7
2012-10-01,65,7
2012-11-01,65,7
2012-12-01,54,8
2013-01-01,55,7
2013-02-01,59,6
2013-03-01,61,6
2013-04-01,86,9
2013-05-01,78,8
2013-06-01,91,10
2013-07-01,89,8
2013-08-01,81,9
2013-09-01,83,9
2013-10-01,81,5
2013-11-01,84,7
2013-12-01,92,8
2014-01-01,99,7
2014-02-01,90,9
2014-03-01,87,9
2014-04-01,78,10
2014-05-01,67,7
2014-06-01,80,10
2014-07-01,95,11
2014-08-01,88,12
2014-09-01,85,8
2014-10-01,87,8
2014-11-01,78,9
2014-12-01,79,9
2015-01-01,90,8
2015-02-01,85,7
2015-03-01,77,8
2015-04-01,77,9
2015-05-01,75,7
2015-06-01,83,6
2015-07-01,81,10
2015-08-01,84,13
2015-09-01,83,10
2015-10-01,82,8
2015-11-01,80,6
2015-12-01,83,6
2016-01-01,79,6
2016-02-01,80,8
2016-03-01,78,6
2016-04-01,76,6
2016-05-01,83,6
2016-06-01,72,6
2016-07-01,77,8
2016-08-01,76,7
2016-09-01,89,6
2016-10-01,80,7
2016-11-01,91,8
2016-12-01,100,7
2017-01-01,90,8
