date,incognito mode safari,how to browse anonymously
2011-01-01,6,28
2011-02-01,6,21
2011-03-01,13,21
2011-04-01,16,14
2011-05-01,14,25
2011-06-01,15,38
2011-07-01,22,41
2011-08-01,11,42
2011-09-01,11,47
2011-10-01,8,22
2011-11-01,17,21
2011-12-01,8,29
2012-01-01,25,47
2012-02-01,11,29
2012-03-01,12,43
2012-04-01,17,40
2012-05-01,12,31
2012-06-01,22,32
2012-07-01,21,49
2012-08-01,65,33
2012-09-01,76,42
2012-10-01,53,42
2012-11-01,54,41
2012-12-01,45,48
2013-01-01,45,40
2013-02-01,33,34
2013-03-01,52,38
2013-04-01,45,52
2013-05-01,45,48
2013-06-01,87,58
2013-07-01,78,48
2013-08-01,91,57
2013-09-01,58,52
2013-10-01,79,33
2013-11-01,60,44
2013-12-01,82,48
2014-01-01,60,42
2014-02-01,55,55
2014-03-01,52,54
2014-04-01,83,59
2014-05-01,55,42
2014-06-01,70,62
2014-07-01,62,67
2014-08-01,92,71
2014-09-01,99,46
2014-10-01,100,50
2014-11-01,72,52
2014-12-01,98,57
2015-01-01,64,50
2015-02-01,79,41
2015-03-01,56,49
2015-04-01,70,51
2015-05-01,85,39
2015-06-01,77,38
2015-07-01,86,58
2015-08-01,69,76
2015-09-01,82,59
2015-10-01,87,48
2015-11-01,76,38
2015-12-01,85,34
2016-01-01,74,38
2016-02-01,67,50
2016-03-01,67,35
2016-04-01,89,34
2016-05-01,81,38
2016-06-01,69,36
2016-07-01,76,51
2016-08-01,83,39
2016-09-01,91,37
2016-10-01,83,41
2016-11-01,78,49
2016-12-01,72,43
2017-01-01,68,49
