date,incognito safari ipad,how to browse anonymously
2011-01-01,8,37
2011-02-01,8,28
2011-03-01,15,28
2011-04-01,14,19
2011-05-01,11,33
2011-06-01,18,50
2011-07-01,18,54
2011-08-01,15,56
2011-09-01,21,62
2011-10-01,27,29
2011-11-01,23,27
2011-12-01,33,38
2012-01-01,33,62
2012-02-01,21,38
2012-03-01,24,57
2012-04-01,56,52
2012-05-01,47,41
2012-06-01,47,43
2012-07-01,62,64
2012-08-01,42,44
2012-09-01,41,55
2012-10-01,31,56
2012-11-01,36,54
2012-12-01,50,63
2013-01-01,52,52
2013-02-01,51,45
2013-03-01,72,50
2013-04-01,67,69
2013-05-01,61,64
2013-06-01,70,77
2013-07-01,76,63
2013-08-01,92,74
2013-09-01,85,69
2013-10-01,83,43
2013-11-01,80,58
2013-12-01,77,63
2014-01-01,76,55
2014-02-01,74,72
2014-03-01,75,71
2014-04-01,70,78
2014-05-01,72,55
2014-06-01,97,82
2014-07-01,55,89
2014-08-01,82,94
2014-09-01,75,60
2014-10-01,75,66
2014-11-01,73,69
2014-12-01,70,75
2015-01-01,82,66
2015-02-01,67,54
2015-03-01,74,65
2015-04-01,62,68
2015-05-01,66,51
2015-06-01,68,50
2015-07-01,45,76
2015-08-01,57,100
2015-09-01,63,77
2015-10-01,58,64
2015-11-01,46,50
2015-12-01,54,45
2016-01-01,42,51
2016-02-01,39,66
2016-03-01,31,47
2016-04-01,31,45
2016-05-01,41,50
2016-06-01,42,48
2016-07-01,41,67
2016-08-01,29,52
2016-09-01,49,49
2016-10-01,41,54
2016-11-01,29,64
2016-12-01,29,57
2017-01-01,30,64
