date,online proxy browser,how to browse anonymously
2011-01-01,40,12
2011-02-01,40,9
2011-03-01,44,9
2011-04-01,36,6
2011-05-01,33,10
2011-06-01,43,16
2011-07-01,40,17
2011-08-01,44,18
2011-09-01,47,19
2011-10-01,46,9
2011-11-01,42,9
2011-12-01,39,12
2012-01-01,50,19
2012-02-01,55,12
2012-03-01,41,18
2012-04-01,45,16
2012-05-01,65,13
2012-06-01,71,13
2012-07-01,62,20
2012-08-01,63,14
2012-09-01,68,17
2012-10-01,74,17
2012-11-01,65,17
2012-12-01,62,20
2013-01-01,50,16
2013-02-01,76,14
2013-03-01,63,16
2013-04-01,71,22
2013-05-01,74,20
2013-06-01,68,24
2013-07-01,66,20
2013-08-01,58,23
2013-09-01,68,22
2013-10-01,62,14
2013-11-01,68,18
2013-12-01,61,20
2014-01-01,69,17
2014-02-01,67,23
2014-03-01,65,22
2014-04-01,77,24
2014-05-01,72,17
2014-06-01,60,26
2014-07-01,83,28
2014-08-01,100,29
2014-09-01,97,19
2014-10-01,84,21
2014-11-01,89,22
2014-12-01,88,23
2015-01-01,77,21
2015-02-01,78,17
2015-03-01,63,20
2015-04-01,64,21
2015-05-01,59,16
2015-06-01,63,16
2015-07-01,63,24
2015-08-01,75,31
2015-09-01,67,24
2015-10-01,66,20
2015-11-01,83,16
2015-12-01,60,14
2016-01-01,78,16
2016-02-01,53,21
2016-03-01,57,15
2016-04-01,66,14
2016-05-01,69,16
2016-06-01,58,15
2016-07-01,61,21
2016-08-01,73,16
2016-09-01,67,15
2016-10-01,66,17
2016-11-01,66,20
2016-12-01,60,18
2017-01-01,52,20
