date,anonymous browsing firefox,how to browse anonymously
2011-01-01,68,32
2011-02-01,54,29
2011-03-01,76,38
2011-04-01,28,20
2011-05-01,72,34
2011-06-01,82,39
2011-07-01,35,38
2011-08-01,47,58
2011-09-01,74,46
2011-10-01,50,34
2011-11-01,27,30
2011-12-01,30,43
2012-01-01,28,77
2012-02-01,76,38
2012-03-01,36,48
2012-04-01,44,59
2012-05-01,52,38
2012-06-01,36,24
2012-07-01,45,78
2012-08-01,68,50
2012-09-01,35,47
2012-10-01,30,67
2012-11-01,43,48
2012-12-01,54,67
2013-01-01,39,56
2013-02-01,19,46
2013-03-01,24,60
2013-04-01,39,78
2013-05-01,38,62
2013-06-01,37,78
2013-07-01,31,67
2013-08-01,40,78
2013-09-01,35,63
2013-10-01,31,51
2013-11-01,45,61
2013-12-01,45,70
2014-01-01,29,48
2014-02-01,35,83
2014-03-01,31,72
2014-04-01,26,68
2014-05-01,32,45
2014-06-01,36,77
2014-07-01,33,91
2014-08-01,16,93
2014-09-01,18,76
2014-10-01,21,70
2014-11-01,15,76
2014-12-01,19,79
2015-01-01,30,71
2015-02-01,37,60
2015-03-01,22,62
2015-04-01,26,68
2015-05-01,8,51
2015-06-01,16,46
2015-07-01,16,74
2015-08-01,20,100
2015-09-01,13,73
2015-10-01,17,55
2015-11-01,26,43
2015-12-01,11,46
2016-01-01,14,57
2016-02-01,18,73
2016-03-01,10,48
2016-04-01,14,50
2016-05-01,5,49
2016-06-01,14,47
2016-07-01,9,70
2016-08-01,17,48
2016-09-01,7,44
2016-10-01,10,61
2016-11-01,16,70
2016-12-01,15,59
2017-01-01,5,64
