date,anonymous browser,how to browse anonymously
2011-01-01,54,7
2011-02-01,61,5
2011-03-01,47,5
2011-04-01,56,3
2011-05-01,42,6
2011-06-01,50,9
2011-07-01,41,10
2011-08-01,57,10
2011-09-01,53,11
2011-10-01,57,5
2011-11-01,60,5
2011-12-01,54,7
2012-01-01,72,11
2012-02-01,71,7
2012-03-01,63,10
2012-04-01,59,9
2012-05-01,51,7
2012-06-01,58,8
2012-07-01,54,11
2012-08-01,65,8
2012-09-01,64,10
2012-10-01,61,10
2012-11-01,59,10
2012-12-01,59,11
2013-01-01,53,9
2013-02-01,65,8
2013-03-01,63,9
2013-04-01,69,12
2013-05-01,59,11
2013-06-01,75,14
2013-07-01,68,11
2013-08-01,69,13
2013-09-01,67,12
2013-10-01,73,8
2013-11-01,68,10
2013-12-01,65,11
2014-01-01,70,10
2014-02-01,62,13
2014-03-01,60,13
2014-04-01,61,14
2014-05-01,65,10
2014-06-01,68,15
2014-07-01,74,16
2014-08-01,80,17
2014-09-01,77,11
2014-10-01,82,12
2014-11-01,78,12
2014-12-01,88,13
2015-01-01,70,12
2015-02-01,67,10
2015-03-01,74,12
2015-04-01,73,12
2015-05-01,71,9
2015-06-01,70,9
2015-07-01,72,14
2015-08-01,75,18
2015-09-01,78,14
2015-10-01,79,11
2015-11-01,100,9
2015-12-01,77,8
2016-01-01,76,9
2016-02-01,76,12
2016-03-01,71,8
2016-04-01,70,8
2016-05-01,66,9
2016-06-01,64,9
2016-07-01,77,12
2016-08-01,71,9
2016-09-01,72,9
2016-10-01,62,10
2016-11-01,59,11
2016-12-01,58,10
2017-01-01,62,11
