date,how to encrypt your iphone,encrypted phone calls
2011-01-01,20,20
2011-02-01,32,23
2011-03-01,19,25
2011-04-01,27,41
2011-05-01,19,19
2011-06-01,59,39
2011-07-01,19,58
2011-08-01,27,18
2011-09-01,42,18
2011-10-01,23,25
2011-11-01,17,43
2011-12-01,25,17
2012-01-01,41,23
2012-02-01,27,32
2012-03-01,23,25
2012-04-01,16,55
2012-05-01,34,39
2012-06-01,23,30
2012-07-01,45,30
2012-08-01,30,37
2012-09-01,25,54
2012-10-01,27,27
2012-11-01,47,27
2012-12-01,34,32
2013-01-01,37,31
2013-02-01,23,20
2013-03-01,24,28
2013-04-01,31,25
2013-05-01,18,36
2013-06-01,37,82
2013-07-01,30,72
2013-08-01,12,64
2013-09-01,20,43
2013-10-01,11,45
2013-11-01,11,62
2013-12-01,23,46
2014-01-01,18,42
2014-02-01,27,58
2014-03-01,28,73
2014-04-01,11,36
2014-05-01,36,36
2014-06-01,16,56
2014-07-01,27,55
2014-08-01,24,43
2014-09-01,34,56
2014-10-01,43,43
2014-11-01,33,59
2014-12-01,25,32
2015-01-01,27,47
2015-02-01,25,62
2015-03-01,23,47
2015-04-01,24,71
2015-05-01,33,40
2015-06-01,27,37
2015-07-01,27,40
2015-08-01,30,56
2015-09-01,26,77
2015-10-01,28,40
2015-11-01,24,57
2015-12-01,38,64
2016-01-01,40,48
2016-02-01,39,63
2016-03-01,50,73
2016-04-01,13,85
2016-05-01,31,57
2016-06-01,32,76
2016-07-01,32,62
2016-08-01,29,66
2016-09-01,43,100
2016-10-01,57,41
2016-11-01,54,49
2016-12-01,87,68
2017-01-01,64,67
