date,android encryption performance,encrypted phone calls
2011-01-01,0,20
2011-02-01,0,24
2011-03-01,18,28
2011-04-01,18,19
2011-05-01,19,19
2011-06-01,0,47
2011-07-01,0,76
2011-08-01,0,17
2011-09-01,0,17
2011-10-01,0,25
2011-11-01,17,42
2011-12-01,32,16
2012-01-01,31,15
2012-02-01,31,31
2012-03-01,31,15
2012-04-01,31,46
2012-05-01,15,43
2012-06-01,15,29
2012-07-01,29,37
2012-08-01,15,44
2012-09-01,14,50
2012-10-01,20,39
2012-11-01,26,26
2012-12-01,13,26
2013-01-01,12,24
2013-02-01,40,20
2013-03-01,24,23
2013-04-01,12,24
2013-05-01,23,41
2013-06-01,30,54
2013-07-01,23,77
2013-08-01,23,70
2013-09-01,23,46
2013-10-01,11,49
2013-11-01,22,61
2013-12-01,28,45
2014-01-01,26,36
2014-02-01,23,51
2014-03-01,20,76
2014-04-01,16,16
2014-05-01,27,37
2014-06-01,45,59
2014-07-01,63,40
2014-08-01,35,40
2014-09-01,88,61
2014-10-01,37,52
2014-11-01,86,64
2014-12-01,58,26
2015-01-01,79,44
2015-02-01,53,59
2015-03-01,44,34
2015-04-01,30,80
2015-05-01,34,44
2015-06-01,25,35
2015-07-01,29,39
2015-08-01,34,49
2015-09-01,42,80
2015-10-01,55,45
2015-11-01,83,65
2015-12-01,75,61
2016-01-01,22,48
2016-02-01,79,57
2016-03-01,69,70
2016-04-01,47,90
2016-05-01,58,62
2016-06-01,43,73
2016-07-01,26,65
2016-08-01,51,55
2016-09-01,42,100
2016-10-01,39,47
2016-11-01,48,40
2016-12-01,24,80
2017-01-01,34,65
