date,encrypted message app,encrypted phone calls
2011-01-01,0,20
2011-02-01,21,24
2011-03-01,19,28
2011-04-01,19,19
2011-05-01,19,19
2011-06-01,19,47
2011-07-01,19,76
2011-08-01,0,17
2011-09-01,0,17
2011-10-01,0,25
2011-11-01,0,42
2011-12-01,0,16
2012-01-01,0,15
2012-02-01,16,31
2012-03-01,15,15
2012-04-01,15,46
2012-05-01,14,43
2012-06-01,15,29
2012-07-01,15,37
2012-08-01,14,44
2012-09-01,14,50
2012-10-01,13,39
2012-11-01,26,26
2012-12-01,26,26
2013-01-01,12,24
2013-02-01,18,20
2013-03-01,23,23
2013-04-01,12,24
2013-05-01,35,41
2013-06-01,35,54
2013-07-01,35,77
2013-08-01,29,70
2013-09-01,23,46
2013-10-01,22,49
2013-11-01,11,61
2013-12-01,11,45
2014-01-01,21,36
2014-02-01,45,51
2014-03-01,15,76
2014-04-01,10,16
2014-05-01,27,37
2014-06-01,31,59
2014-07-01,35,40
2014-08-01,23,40
2014-09-01,11,61
2014-10-01,26,52
2014-11-01,11,64
2014-12-01,21,26
2015-01-01,25,44
2015-02-01,16,59
2015-03-01,24,34
2015-04-01,20,80
2015-05-01,24,44
2015-06-01,29,35
2015-07-01,29,39
2015-08-01,24,49
2015-09-01,14,80
2015-10-01,14,45
2015-11-01,74,65
2015-12-01,42,61
2016-01-01,13,48
2016-02-01,22,57
2016-03-01,33,70
2016-04-01,81,90
2016-05-01,29,62
2016-06-01,64,73
2016-07-01,56,65
2016-08-01,42,55
2016-09-01,79,100
2016-10-01,43,47
2016-11-01,44,40
2016-12-01,32,80
2017-01-01,38,65
