date,encrypted message meaning,encrypted phone calls
2011-01-01,20,20
2011-02-01,21,23
2011-03-01,38,25
2011-04-01,20,41
2011-05-01,20,19
2011-06-01,20,39
2011-07-01,19,58
2011-08-01,18,18
2011-09-01,27,18
2011-10-01,17,25
2011-11-01,17,43
2011-12-01,17,17
2012-01-01,16,23
2012-02-01,15,32
2012-03-01,15,25
2012-04-01,16,55
2012-05-01,15,39
2012-06-01,15,30
2012-07-01,22,30
2012-08-01,30,37
2012-09-01,15,54
2012-10-01,13,27
2012-11-01,13,27
2012-12-01,13,32
2013-01-01,25,31
2013-02-01,14,20
2013-03-01,12,28
2013-04-01,12,25
2013-05-01,12,36
2013-06-01,12,82
2013-07-01,12,72
2013-08-01,12,64
2013-09-01,12,43
2013-10-01,17,45
2013-11-01,15,62
2013-12-01,23,46
2014-01-01,10,42
2014-02-01,10,58
2014-03-01,10,73
2014-04-01,11,36
2014-05-01,11,36
2014-06-01,12,56
2014-07-01,18,55
2014-08-01,11,43
2014-09-01,11,56
2014-10-01,16,43
2014-11-01,11,59
2014-12-01,16,32
2015-01-01,15,47
2015-02-01,11,62
2015-03-01,10,47
2015-04-01,12,71
2015-05-01,15,40
2015-06-01,10,37
2015-07-01,20,40
2015-08-01,15,56
2015-09-01,13,77
2015-10-01,55,40
2015-11-01,14,57
2015-12-01,24,64
2016-01-01,9,48
2016-02-01,24,63
2016-03-01,13,73
2016-04-01,38,85
2016-05-01,59,57
2016-06-01,38,76
2016-07-01,18,62
2016-08-01,23,66
2016-09-01,40,100
2016-10-01,62,41
2016-11-01,29,49
2016-12-01,35,68
2017-01-01,31,67
