date,how to encrypt iphone 6,encrypted phone calls
2011-01-01,0,20
2011-02-01,0,23
2011-03-01,0,25
2011-04-01,0,41
2011-05-01,0,19
2011-06-01,0,39
2011-07-01,0,58
2011-08-01,0,18
2011-09-01,0,18
2011-10-01,0,25
2011-11-01,0,43
2011-12-01,0,17
2012-01-01,0,23
2012-02-01,0,32
2012-03-01,0,25
2012-04-01,0,55
2012-05-01,0,39
2012-06-01,0,30
2012-07-01,0,30
2012-08-01,0,37
2012-09-01,0,54
2012-10-01,13,27
2012-11-01,13,27
2012-12-01,14,32
2013-01-01,12,31
2013-02-01,20,20
2013-03-01,12,28
2013-04-01,12,25
2013-05-01,12,36
2013-06-01,12,82
2013-07-01,12,72
2013-08-01,12,64
2013-09-01,12,43
2013-10-01,12,45
2013-11-01,12,62
2013-12-01,12,46
2014-01-01,12,42
2014-02-01,12,58
2014-03-01,10,73
2014-04-01,11,36
2014-05-01,11,36
2014-06-01,12,56
2014-07-01,12,55
2014-08-01,12,43
2014-09-01,38,56
2014-10-01,39,43
2014-11-01,26,59
2014-12-01,29,32
2015-01-01,51,47
2015-02-01,40,62
2015-03-01,30,47
2015-04-01,27,71
2015-05-01,23,40
2015-06-01,27,37
2015-07-01,20,40
2015-08-01,20,56
2015-09-01,19,77
2015-10-01,37,40
2015-11-01,32,57
2015-12-01,45,64
2016-01-01,30,48
2016-02-01,51,63
2016-03-01,70,73
2016-04-01,41,85
2016-05-01,37,57
2016-06-01,38,76
2016-07-01,50,62
2016-08-01,32,66
2016-09-01,37,100
2016-10-01,35,41
2016-11-01,49,49
2016-12-01,45,68
2017-01-01,28,67
