date,encrypt text messages android,encrypted phone calls
2011-01-01,0,20
2011-02-01,0,23
2011-03-01,19,25
2011-04-01,20,41
2011-05-01,22,19
2011-06-01,24,39
2011-07-01,26,58
2011-08-01,28,18
2011-09-01,18,18
2011-10-01,17,25
2011-11-01,17,43
2011-12-01,15,17
2012-01-01,15,23
2012-02-01,16,32
2012-03-01,24,25
2012-04-01,31,55
2012-05-01,15,39
2012-06-01,15,30
2012-07-01,15,30
2012-08-01,15,37
2012-09-01,15,54
2012-10-01,13,27
2012-11-01,13,27
2012-12-01,14,32
2013-01-01,12,31
2013-02-01,18,20
2013-03-01,12,28
2013-04-01,16,25
2013-05-01,12,36
2013-06-01,24,82
2013-07-01,28,72
2013-08-01,36,64
2013-09-01,23,43
2013-10-01,11,45
2013-11-01,11,62
2013-12-01,11,46
2014-01-01,11,42
2014-02-01,23,58
2014-03-01,11,73
2014-04-01,11,36
2014-05-01,16,36
2014-06-01,12,56
2014-07-01,12,55
2014-08-01,24,43
2014-09-01,11,56
2014-10-01,11,43
2014-11-01,22,59
2014-12-01,18,32
2015-01-01,20,47
2015-02-01,10,62
2015-03-01,10,47
2015-04-01,15,71
2015-05-01,15,40
2015-06-01,10,37
2015-07-01,10,40
2015-08-01,10,56
2015-09-01,14,77
2015-10-01,15,40
2015-11-01,9,57
2015-12-01,13,64
2016-01-01,13,48
2016-02-01,13,63
2016-03-01,17,73
2016-04-01,26,85
2016-05-01,28,57
2016-06-01,9,76
2016-07-01,22,62
2016-08-01,11,66
2016-09-01,11,100
2016-10-01,12,41
2016-11-01,8,49
2016-12-01,12,68
2017-01-01,15,67
