date,encrypt sd card,encrypted phone calls
2011-01-01,15,4
2011-02-01,14,5
2011-03-01,8,6
2011-04-01,17,9
2011-05-01,6,4
2011-06-01,14,9
2011-07-01,14,13
2011-08-01,16,4
2011-09-01,20,4
2011-10-01,14,6
2011-11-01,28,10
2011-12-01,22,4
2012-01-01,24,5
2012-02-01,21,7
2012-03-01,17,6
2012-04-01,23,12
2012-05-01,23,9
2012-06-01,27,7
2012-07-01,26,7
2012-08-01,32,8
2012-09-01,25,12
2012-10-01,45,6
2012-11-01,37,6
2012-12-01,25,7
2013-01-01,42,7
2013-02-01,31,5
2013-03-01,47,6
2013-04-01,38,6
2013-05-01,39,8
2013-06-01,50,18
2013-07-01,37,16
2013-08-01,49,14
2013-09-01,49,10
2013-10-01,59,10
2013-11-01,38,14
2013-12-01,53,10
2014-01-01,61,9
2014-02-01,51,13
2014-03-01,58,16
2014-04-01,51,8
2014-05-01,61,8
2014-06-01,53,13
2014-07-01,60,12
2014-08-01,72,10
2014-09-01,68,13
2014-10-01,66,10
2014-11-01,70,13
2014-12-01,62,7
2015-01-01,70,11
2015-02-01,72,14
2015-03-01,67,10
2015-04-01,74,16
2015-05-01,63,9
2015-06-01,61,8
2015-07-01,63,9
2015-08-01,69,13
2015-09-01,65,17
2015-10-01,64,9
2015-11-01,77,13
2015-12-01,81,14
2016-01-01,76,11
2016-02-01,100,14
2016-03-01,84,16
2016-04-01,89,19
2016-05-01,73,13
2016-06-01,79,17
2016-07-01,86,14
2016-08-01,91,15
2016-09-01,84,22
2016-10-01,91,9
2016-11-01,96,11
2016-12-01,89,15
2017-01-01,92,15
