date,How to change settings on youtube
2011-01-01,34
2011-02-01,36
2011-03-01,46
2011-04-01,22
2011-05-01,33
2011-06-01,36
2011-07-01,42
2011-08-01,35
2011-09-01,41
2011-10-01,32
2011-11-01,32
2011-12-01,42
2012-01-01,57
2012-02-01,45
2012-03-01,49
2012-04-01,44
2012-05-01,56
2012-06-01,48
2012-07-01,70
2012-08-01,66
2012-09-01,79
2012-10-01,58
2012-11-01,61
2012-12-01,70
2013-01-01,70
2013-02-01,89
2013-03-01,86
2013-04-01,76
2013-05-01,74
2013-06-01,75
2013-07-01,90
2013-08-01,100
2013-09-01,82
2013-10-01,68
2013-11-01,80
2013-12-01,88
2014-01-01,92
2014-02-01,93
2014-03-01,76
2014-04-01,90
2014-05-01,86
2014-06-01,72
2014-07-01,74
2014-08-01,78
2014-09-01,80
2014-10-01,89
2014-11-01,60
2014-12-01,71
2015-01-01,83
2015-02-01,69
2015-03-01,82
2015-04-01,76
2015-05-01,94
2015-06-01,82
2015-07-01,78
2015-08-01,73
2015-09-01,68
2015-10-01,68
2015-11-01,68
2015-12-01,82
2016-01-01,71
2016-02-01,71
2016-03-01,62
2016-04-01,71
2016-05-01,71
2016-06-01,76
2016-07-01,53
2016-08-01,61
2016-09-01,64
2016-10-01,55
2016-11-01,61
2016-12-01,68
2017-01-01,72
