date,how to protect against phishing
2011-01-01,83
2011-02-01,44
2011-03-01,39
2011-04-01,71
2011-05-01,59
2011-06-01,0
2011-07-01,40
2011-08-01,0
2011-09-01,49
2011-10-01,47
2011-11-01,0
2011-12-01,46
2012-01-01,64
2012-02-01,55
2012-03-01,63
2012-04-01,0
2012-05-01,91
2012-06-01,32
2012-07-01,63
2012-08-01,62
2012-09-01,61
2012-10-01,93
2012-11-01,28
2012-12-01,28
2013-01-01,42
2013-02-01,57
2013-03-01,100
2013-04-01,34
2013-05-01,37
2013-06-01,25
2013-07-01,25
2013-08-01,25
2013-09-01,73
2013-10-01,46
2013-11-01,71
2013-12-01,63
2014-01-01,51
2014-02-01,72
2014-03-01,76
2014-04-01,52
2014-05-01,45
2014-06-01,25
2014-07-01,73
2014-08-01,49
2014-09-01,54
2014-10-01,67
2014-11-01,84
2014-12-01,45
2015-01-01,70
2015-02-01,34
2015-03-01,76
2015-04-01,35
2015-05-01,41
2015-06-01,56
2015-07-01,28
2015-08-01,34
2015-09-01,54
2015-10-01,57
2015-11-01,59
2015-12-01,33
2016-01-01,31
2016-02-01,50
2016-03-01,26
2016-04-01,36
2016-05-01,23
2016-06-01,18
2016-07-01,18
2016-08-01,62
2016-09-01,62
2016-10-01,73
2016-11-01,57
2016-12-01,40
2017-01-01,27
