date,Facebook remove friend,facebook delete friends
2011-01-01,31,88
2011-02-01,29,70
2011-03-01,26,58
2011-04-01,26,56
2011-05-01,26,57
2011-06-01,26,56
2011-07-01,26,62
2011-08-01,28,58
2011-09-01,29,67
2011-10-01,25,74
2011-11-01,23,69
2011-12-01,23,85
2012-01-01,24,96
2012-02-01,21,88
2012-03-01,18,86
2012-04-01,21,96
2012-05-01,21,95
2012-06-01,22,100
2012-07-01,24,99
2012-08-01,24,95
2012-09-01,20,87
2012-10-01,18,93
2012-11-01,15,71
2012-12-01,15,46
2013-01-01,15,41
2013-02-01,12,37
2013-03-01,13,34
2013-04-01,14,32
2013-05-01,11,29
2013-06-01,13,27
2013-07-01,12,26
2013-08-01,10,26
2013-09-01,10,26
2013-10-01,10,22
2013-11-01,9,22
2013-12-01,9,20
2014-01-01,9,23
2014-02-01,8,20
2014-03-01,10,21
2014-04-01,10,21
2014-05-01,9,24
2014-06-01,10,22
2014-07-01,9,23
2014-08-01,10,23
2014-09-01,8,19
2014-10-01,8,19
2014-11-01,7,18
2014-12-01,8,18
2015-01-01,8,19
2015-02-01,7,18
2015-03-01,7,17
2015-04-01,8,17
2015-05-01,6,17
2015-06-01,7,18
2015-07-01,8,19
2015-08-01,7,19
2015-09-01,8,16
2015-10-01,8,16
2015-11-01,7,16
2015-12-01,8,16
2016-01-01,7,17
2016-02-01,7,18
2016-03-01,7,15
2016-04-01,7,16
2016-05-01,7,16
2016-06-01,9,17
2016-07-01,9,17
2016-08-01,9,17
2016-09-01,9,17
2016-10-01,9,17
2016-11-01,9,18
2016-12-01,8,17
2017-01-01,9,17
