date,how to unfollow someone on facebook,facebook delete friends
2011-01-01,0,88
2011-02-01,0,70
2011-03-01,0,58
2011-04-01,0,56
2011-05-01,0,57
2011-06-01,0,56
2011-07-01,0,62
2011-08-01,0,58
2011-09-01,0,67
2011-10-01,0,74
2011-11-01,0,69
2011-12-01,0,85
2012-01-01,0,96
2012-02-01,0,88
2012-03-01,0,86
2012-04-01,0,96
2012-05-01,0,95
2012-06-01,0,100
2012-07-01,0,99
2012-08-01,0,95
2012-09-01,0,87
2012-10-01,0,93
2012-11-01,0,71
2012-12-01,0,46
2013-01-01,1,41
2013-02-01,1,37
2013-03-01,1,34
2013-04-01,3,32
2013-05-01,2,29
2013-06-01,1,27
2013-07-01,1,26
2013-08-01,3,26
2013-09-01,2,26
2013-10-01,1,22
2013-11-01,1,22
2013-12-01,2,20
2014-01-01,3,23
2014-02-01,2,20
2014-03-01,2,21
2014-04-01,2,21
2014-05-01,2,24
2014-06-01,3,22
2014-07-01,4,23
2014-08-01,3,23
2014-09-01,2,19
2014-10-01,1,19
2014-11-01,2,18
2014-12-01,3,18
2015-01-01,3,19
2015-02-01,2,18
2015-03-01,2,17
2015-04-01,2,17
2015-05-01,3,17
2015-06-01,3,18
2015-07-01,2,19
2015-08-01,2,19
2015-09-01,2,16
2015-10-01,2,16
2015-11-01,1,16
2015-12-01,2,16
2016-01-01,1,17
2016-02-01,3,18
2016-03-01,2,15
2016-04-01,1,16
2016-05-01,1,16
2016-06-01,2,17
2016-07-01,3,17
2016-08-01,1,17
2016-09-01,1,17
2016-10-01,2,17
2016-11-01,2,18
2016-12-01,2,17
2017-01-01,2,17
