date,uninstall youtube,how to delete youtube
2011-01-01,12,45
2011-02-01,13,43
2011-03-01,15,46
2011-04-01,13,49
2011-05-01,10,47
2011-06-01,11,65
2011-07-01,14,73
2011-08-01,15,74
2011-09-01,13,65
2011-10-01,13,66
2011-11-01,13,70
2011-12-01,14,95
2012-01-01,14,86
2012-02-01,11,74
2012-03-01,13,75
2012-04-01,12,76
2012-05-01,12,70
2012-06-01,14,78
2012-07-01,15,86
2012-08-01,16,83
2012-09-01,17,78
2012-10-01,15,77
2012-11-01,15,80
2012-12-01,16,95
2013-01-01,14,91
2013-02-01,14,88
2013-03-01,15,87
2013-04-01,14,88
2013-05-01,14,87
2013-06-01,15,90
2013-07-01,15,95
2013-08-01,14,100
2013-09-01,15,85
2013-10-01,16,78
2013-11-01,18,82
2013-12-01,18,83
2014-01-01,18,87
2014-02-01,17,81
2014-03-01,18,83
2014-04-01,17,83
2014-05-01,16,80
2014-06-01,16,81
2014-07-01,17,96
2014-08-01,19,98
2014-09-01,20,89
2014-10-01,19,85
2014-11-01,19,88
2014-12-01,19,90
2015-01-01,19,90
2015-02-01,18,81
2015-03-01,17,79
2015-04-01,15,81
2015-05-01,17,79
2015-06-01,16,82
2015-07-01,18,88
2015-08-01,18,87
2015-09-01,16,77
2015-10-01,16,73
2015-11-01,15,71
2015-12-01,17,79
2016-01-01,15,79
2016-02-01,15,74
2016-03-01,13,69
2016-04-01,13,69
2016-05-01,13,70
2016-06-01,14,73
2016-07-01,13,76
2016-08-01,14,74
2016-09-01,13,71
2016-10-01,15,71
2016-11-01,13,69
2016-12-01,13,77
2017-01-01,14,79
