date,Get Rid of YouTube,how to delete youtube
2011-01-01,31,45
2011-02-01,31,43
2011-03-01,31,46
2011-04-01,34,49
2011-05-01,32,47
2011-06-01,38,65
2011-07-01,41,73
2011-08-01,40,74
2011-09-01,40,65
2011-10-01,40,66
2011-11-01,38,70
2011-12-01,43,95
2012-01-01,39,86
2012-02-01,36,74
2012-03-01,38,75
2012-04-01,39,76
2012-05-01,36,70
2012-06-01,40,78
2012-07-01,41,86
2012-08-01,41,83
2012-09-01,42,78
2012-10-01,41,77
2012-11-01,42,80
2012-12-01,43,95
2013-01-01,41,91
2013-02-01,42,88
2013-03-01,41,87
2013-04-01,44,88
2013-05-01,45,87
2013-06-01,45,90
2013-07-01,50,95
2013-08-01,49,100
2013-09-01,45,85
2013-10-01,47,78
2013-11-01,48,82
2013-12-01,48,83
2014-01-01,48,87
2014-02-01,43,81
2014-03-01,46,83
2014-04-01,45,83
2014-05-01,47,80
2014-06-01,47,81
2014-07-01,47,96
2014-08-01,52,98
2014-09-01,47,89
2014-10-01,45,85
2014-11-01,44,88
2014-12-01,44,90
2015-01-01,43,90
2015-02-01,40,81
2015-03-01,41,79
2015-04-01,44,81
2015-05-01,44,79
2015-06-01,42,82
2015-07-01,45,88
2015-08-01,46,87
2015-09-01,42,77
2015-10-01,37,73
2015-11-01,35,71
2015-12-01,37,79
2016-01-01,40,79
2016-02-01,37,74
2016-03-01,37,69
2016-04-01,37,69
2016-05-01,39,70
2016-06-01,39,73
2016-07-01,41,76
2016-08-01,40,74
2016-09-01,35,71
2016-10-01,36,71
2016-11-01,35,69
2016-12-01,35,77
2017-01-01,37,79
