date,how to remove Youtube,how to delete youtube
2011-01-01,43,45
2011-02-01,42,41
2011-03-01,43,45
2011-04-01,46,46
2011-05-01,43,45
2011-06-01,49,63
2011-07-01,53,72
2011-08-01,53,73
2011-09-01,47,63
2011-10-01,51,66
2011-11-01,49,68
2011-12-01,60,90
2012-01-01,56,84
2012-02-01,55,74
2012-03-01,59,73
2012-04-01,55,76
2012-05-01,52,69
2012-06-01,59,77
2012-07-01,62,83
2012-08-01,60,82
2012-09-01,62,78
2012-10-01,60,74
2012-11-01,58,78
2012-12-01,69,94
2013-01-01,65,93
2013-02-01,69,87
2013-03-01,68,86
2013-04-01,65,85
2013-05-01,65,85
2013-06-01,65,90
2013-07-01,68,93
2013-08-01,72,100
2013-09-01,67,84
2013-10-01,73,77
2013-11-01,76,79
2013-12-01,77,84
2014-01-01,77,86
2014-02-01,76,79
2014-03-01,79,83
2014-04-01,76,80
2014-05-01,76,77
2014-06-01,76,80
2014-07-01,79,94
2014-08-01,86,98
2014-09-01,85,87
2014-10-01,79,84
2014-11-01,78,86
2014-12-01,80,88
2015-01-01,79,88
2015-02-01,77,77
2015-03-01,79,79
2015-04-01,80,79
2015-05-01,81,78
2015-06-01,81,81
2015-07-01,87,84
2015-08-01,89,86
2015-09-01,79,74
2015-10-01,75,73
2015-11-01,72,70
2015-12-01,77,82
2016-01-01,78,80
2016-02-01,73,70
2016-03-01,74,68
2016-04-01,72,68
2016-05-01,72,69
2016-06-01,74,71
2016-07-01,79,76
2016-08-01,78,77
2016-09-01,75,73
2016-10-01,75,69
2016-11-01,72,70
2016-12-01,75,75
2017-01-01,76,78
