date,remove youtube,how to delete youtube
2011-01-01,55,29
2011-02-01,55,28
2011-03-01,55,30
2011-04-01,58,32
2011-05-01,57,30
2011-06-01,61,42
2011-07-01,66,47
2011-08-01,66,48
2011-09-01,60,42
2011-10-01,63,43
2011-11-01,64,45
2011-12-01,72,61
2012-01-01,67,56
2012-02-01,67,48
2012-03-01,70,48
2012-04-01,71,49
2012-05-01,68,46
2012-06-01,70,50
2012-07-01,73,56
2012-08-01,76,54
2012-09-01,81,51
2012-10-01,74,50
2012-11-01,72,52
2012-12-01,83,61
2013-01-01,77,59
2013-02-01,80,57
2013-03-01,81,56
2013-04-01,80,57
2013-05-01,77,56
2013-06-01,78,58
2013-07-01,80,61
2013-08-01,85,65
2013-09-01,82,55
2013-10-01,87,51
2013-11-01,90,53
2013-12-01,92,54
2014-01-01,91,56
2014-02-01,91,52
2014-03-01,91,54
2014-04-01,90,54
2014-05-01,90,52
2014-06-01,89,52
2014-07-01,89,62
2014-08-01,97,63
2014-09-01,96,58
2014-10-01,92,55
2014-11-01,93,57
2014-12-01,94,58
2015-01-01,92,58
2015-02-01,92,53
2015-03-01,91,51
2015-04-01,94,53
2015-05-01,93,51
2015-06-01,95,53
2015-07-01,98,57
2015-08-01,100,56
2015-09-01,89,50
2015-10-01,86,47
2015-11-01,82,46
2015-12-01,90,51
2016-01-01,90,51
2016-02-01,83,48
2016-03-01,85,45
2016-04-01,83,44
2016-05-01,82,45
2016-06-01,82,48
2016-07-01,88,49
2016-08-01,89,48
2016-09-01,85,46
2016-10-01,86,46
2016-11-01,80,45
2016-12-01,83,50
2017-01-01,84,51
