date,Delete YouTube App,how to delete youtube
2011-01-01,1,43
2011-02-01,1,41
2011-03-01,1,44
2011-04-01,1,44
2011-05-01,1,44
2011-06-01,1,62
2011-07-01,2,70
2011-08-01,2,71
2011-09-01,1,63
2011-10-01,1,65
2011-11-01,2,68
2011-12-01,3,90
2012-01-01,2,84
2012-02-01,2,74
2012-03-01,2,71
2012-04-01,2,74
2012-05-01,2,67
2012-06-01,2,76
2012-07-01,2,83
2012-08-01,2,78
2012-09-01,8,78
2012-10-01,6,74
2012-11-01,5,78
2012-12-01,6,92
2013-01-01,5,90
2013-02-01,5,83
2013-03-01,5,84
2013-04-01,5,85
2013-05-01,4,84
2013-06-01,6,90
2013-07-01,5,94
2013-08-01,7,100
2013-09-01,6,81
2013-10-01,5,77
2013-11-01,4,77
2013-12-01,6,83
2014-01-01,5,84
2014-02-01,4,77
2014-03-01,4,80
2014-04-01,6,79
2014-05-01,5,75
2014-06-01,5,78
2014-07-01,6,92
2014-08-01,6,96
2014-09-01,6,85
2014-10-01,5,84
2014-11-01,5,83
2014-12-01,5,88
2015-01-01,5,87
2015-02-01,4,77
2015-03-01,3,78
2015-04-01,3,78
2015-05-01,4,76
2015-06-01,4,80
2015-07-01,5,82
2015-08-01,5,84
2015-09-01,5,75
2015-10-01,5,72
2015-11-01,5,70
2015-12-01,6,81
2016-01-01,5,79
2016-02-01,4,71
2016-03-01,4,66
2016-04-01,3,67
2016-05-01,4,68
2016-06-01,4,70
2016-07-01,5,75
2016-08-01,4,75
2016-09-01,4,72
2016-10-01,4,69
2016-11-01,4,69
2016-12-01,5,74
2017-01-01,5,77
