date,uninstall computer programs,how to delete youtube
2011-01-01,2,45
2011-02-01,2,43
2011-03-01,1,46
2011-04-01,2,49
2011-05-01,2,47
2011-06-01,2,65
2011-07-01,2,73
2011-08-01,1,74
2011-09-01,2,65
2011-10-01,2,66
2011-11-01,1,70
2011-12-01,2,95
2012-01-01,2,86
2012-02-01,2,74
2012-03-01,2,75
2012-04-01,2,76
2012-05-01,1,70
2012-06-01,2,78
2012-07-01,2,86
2012-08-01,2,83
2012-09-01,2,78
2012-10-01,2,77
2012-11-01,2,80
2012-12-01,2,95
2013-01-01,2,91
2013-02-01,3,88
2013-03-01,2,87
2013-04-01,2,88
2013-05-01,2,87
2013-06-01,2,90
2013-07-01,2,95
2013-08-01,2,100
2013-09-01,2,85
2013-10-01,2,78
2013-11-01,2,82
2013-12-01,3,83
2014-01-01,3,87
2014-02-01,2,81
2014-03-01,3,83
2014-04-01,2,83
2014-05-01,2,80
2014-06-01,3,81
2014-07-01,3,96
2014-08-01,2,98
2014-09-01,2,89
2014-10-01,2,85
2014-11-01,2,88
2014-12-01,2,90
2015-01-01,3,90
2015-02-01,2,81
2015-03-01,2,79
2015-04-01,2,81
2015-05-01,2,79
2015-06-01,2,82
2015-07-01,2,88
2015-08-01,3,87
2015-09-01,2,77
2015-10-01,2,73
2015-11-01,2,71
2015-12-01,2,79
2016-01-01,2,79
2016-02-01,2,74
2016-03-01,2,69
2016-04-01,2,69
2016-05-01,2,70
2016-06-01,2,73
2016-07-01,2,76
2016-08-01,2,74
2016-09-01,1,71
2016-10-01,1,71
2016-11-01,2,69
2016-12-01,1,77
2017-01-01,2,79
