date,Delete Video from Youtube,how to delete youtube
2011-01-01,4,45
2011-02-01,3,43
2011-03-01,5,46
2011-04-01,4,49
2011-05-01,4,47
2011-06-01,7,65
2011-07-01,7,73
2011-08-01,7,74
2011-09-01,6,65
2011-10-01,6,66
2011-11-01,6,70
2011-12-01,9,95
2012-01-01,7,86
2012-02-01,6,74
2012-03-01,6,75
2012-04-01,5,76
2012-05-01,4,70
2012-06-01,5,78
2012-07-01,6,86
2012-08-01,6,83
2012-09-01,5,78
2012-10-01,6,77
2012-11-01,6,80
2012-12-01,6,95
2013-01-01,5,91
2013-02-01,5,88
2013-03-01,6,87
2013-04-01,5,88
2013-05-01,5,87
2013-06-01,6,90
2013-07-01,5,95
2013-08-01,4,100
2013-09-01,4,85
2013-10-01,4,78
2013-11-01,4,82
2013-12-01,5,83
2014-01-01,4,87
2014-02-01,5,81
2014-03-01,4,83
2014-04-01,4,83
2014-05-01,4,80
2014-06-01,4,81
2014-07-01,5,96
2014-08-01,5,98
2014-09-01,5,89
2014-10-01,4,85
2014-11-01,5,88
2014-12-01,5,90
2015-01-01,5,90
2015-02-01,4,81
2015-03-01,5,79
2015-04-01,5,81
2015-05-01,5,79
2015-06-01,6,82
2015-07-01,5,88
2015-08-01,5,87
2015-09-01,5,77
2015-10-01,4,73
2015-11-01,4,71
2015-12-01,5,79
2016-01-01,5,79
2016-02-01,4,74
2016-03-01,4,69
2016-04-01,4,69
2016-05-01,5,70
2016-06-01,4,73
2016-07-01,4,76
2016-08-01,4,74
2016-09-01,4,71
2016-10-01,4,71
2016-11-01,5,69
2016-12-01,4,77
2017-01-01,5,79
