date,How do I delete youtube,how to delete youtube
2011-01-01,5,45
2011-02-01,6,43
2011-03-01,5,46
2011-04-01,5,49
2011-05-01,5,47
2011-06-01,7,65
2011-07-01,7,73
2011-08-01,8,74
2011-09-01,8,65
2011-10-01,7,66
2011-11-01,6,70
2011-12-01,10,95
2012-01-01,9,86
2012-02-01,8,74
2012-03-01,8,75
2012-04-01,7,76
2012-05-01,7,70
2012-06-01,8,78
2012-07-01,9,86
2012-08-01,8,83
2012-09-01,8,78
2012-10-01,9,77
2012-11-01,8,80
2012-12-01,9,95
2013-01-01,9,91
2013-02-01,9,88
2013-03-01,8,87
2013-04-01,9,88
2013-05-01,8,87
2013-06-01,9,90
2013-07-01,7,95
2013-08-01,9,100
2013-09-01,9,85
2013-10-01,8,78
2013-11-01,7,82
2013-12-01,8,83
2014-01-01,8,87
2014-02-01,7,81
2014-03-01,7,83
2014-04-01,7,83
2014-05-01,7,80
2014-06-01,7,81
2014-07-01,8,96
2014-08-01,7,98
2014-09-01,7,89
2014-10-01,6,85
2014-11-01,7,88
2014-12-01,6,90
2015-01-01,6,90
2015-02-01,6,81
2015-03-01,6,79
2015-04-01,5,81
2015-05-01,6,79
2015-06-01,6,82
2015-07-01,6,88
2015-08-01,6,87
2015-09-01,6,77
2015-10-01,5,73
2015-11-01,6,71
2015-12-01,6,79
2016-01-01,6,79
2016-02-01,5,74
2016-03-01,5,69
2016-04-01,5,69
2016-05-01,4,70
2016-06-01,5,73
2016-07-01,5,76
2016-08-01,5,74
2016-09-01,5,71
2016-10-01,4,71
2016-11-01,5,69
2016-12-01,4,77
2017-01-01,4,79
