date,delete my youtube account,how to delete a youtube account
2011-01-01,27,31
2011-02-01,19,36
2011-03-01,21,41
2011-04-01,23,33
2011-05-01,27,33
2011-06-01,28,43
2011-07-01,30,54
2011-08-01,42,51
2011-09-01,44,59
2011-10-01,39,50
2011-11-01,35,61
2011-12-01,45,65
2012-01-01,44,63
2012-02-01,41,51
2012-03-01,40,51
2012-04-01,46,65
2012-05-01,40,58
2012-06-01,54,71
2012-07-01,49,81
2012-08-01,47,81
2012-09-01,37,55
2012-10-01,40,52
2012-11-01,52,64
2012-12-01,46,62
2013-01-01,46,76
2013-02-01,51,77
2013-03-01,46,65
2013-04-01,50,67
2013-05-01,43,63
2013-06-01,49,75
2013-07-01,51,87
2013-08-01,61,100
2013-09-01,45,68
2013-10-01,42,57
2013-11-01,44,51
2013-12-01,43,64
2014-01-01,44,73
2014-02-01,47,55
2014-03-01,39,58
2014-04-01,34,56
2014-05-01,38,54
2014-06-01,31,57
2014-07-01,41,72
2014-08-01,39,65
2014-09-01,32,47
2014-10-01,31,48
2014-11-01,30,49
2014-12-01,31,54
2015-01-01,29,58
2015-02-01,29,42
2015-03-01,31,49
2015-04-01,27,48
2015-05-01,28,54
2015-06-01,30,49
2015-07-01,32,50
2015-08-01,30,48
2015-09-01,29,38
2015-10-01,23,37
2015-11-01,24,38
2015-12-01,32,42
2016-01-01,29,49
2016-02-01,26,42
2016-03-01,27,39
2016-04-01,24,41
2016-05-01,25,39
2016-06-01,26,45
2016-07-01,36,47
2016-08-01,34,43
2016-09-01,27,34
2016-10-01,24,34
2016-11-01,26,36
2016-12-01,34,44
2017-01-01,30,41
