date,youtube delete my account,how to delete a youtube account
2011-01-01,25,32
2011-02-01,24,31
2011-03-01,26,43
2011-04-01,23,32
2011-05-01,31,45
2011-06-01,32,44
2011-07-01,31,58
2011-08-01,40,51
2011-09-01,38,54
2011-10-01,38,50
2011-11-01,37,52
2011-12-01,47,63
2012-01-01,46,49
2012-02-01,39,58
2012-03-01,47,46
2012-04-01,43,73
2012-05-01,43,65
2012-06-01,51,73
2012-07-01,42,86
2012-08-01,43,75
2012-09-01,46,60
2012-10-01,43,49
2012-11-01,41,68
2012-12-01,45,63
2013-01-01,48,78
2013-02-01,44,75
2013-03-01,45,74
2013-04-01,55,71
2013-05-01,49,57
2013-06-01,48,73
2013-07-01,53,90
2013-08-01,55,100
2013-09-01,46,68
2013-10-01,42,62
2013-11-01,47,60
2013-12-01,38,69
2014-01-01,40,68
2014-02-01,48,58
2014-03-01,38,60
2014-04-01,36,65
2014-05-01,37,54
2014-06-01,36,57
2014-07-01,46,67
2014-08-01,38,66
2014-09-01,32,57
2014-10-01,31,52
2014-11-01,30,46
2014-12-01,34,50
2015-01-01,34,56
2015-02-01,30,49
2015-03-01,31,48
2015-04-01,29,50
2015-05-01,27,51
2015-06-01,23,54
2015-07-01,33,54
2015-08-01,33,52
2015-09-01,28,44
2015-10-01,24,44
2015-11-01,27,37
2015-12-01,28,49
2016-01-01,33,47
2016-02-01,29,42
2016-03-01,26,41
2016-04-01,25,36
2016-05-01,29,38
2016-06-01,27,50
2016-07-01,29,52
2016-08-01,33,43
2016-09-01,29,37
2016-10-01,26,40
2016-11-01,26,34
2016-12-01,32,45
2017-01-01,32,44
