date,cancel youtube account,how to delete a youtube account
2011-01-01,7,31
2011-02-01,12,37
2011-03-01,7,43
2011-04-01,12,30
2011-05-01,7,33
2011-06-01,14,46
2011-07-01,12,54
2011-08-01,19,52
2011-09-01,12,61
2011-10-01,13,54
2011-11-01,17,63
2011-12-01,14,67
2012-01-01,12,58
2012-02-01,10,54
2012-03-01,12,55
2012-04-01,14,62
2012-05-01,13,59
2012-06-01,14,72
2012-07-01,15,85
2012-08-01,11,89
2012-09-01,16,57
2012-10-01,13,50
2012-11-01,12,65
2012-12-01,17,65
2013-01-01,10,77
2013-02-01,13,88
2013-03-01,11,66
2013-04-01,15,64
2013-05-01,16,70
2013-06-01,11,78
2013-07-01,12,84
2013-08-01,12,100
2013-09-01,9,72
2013-10-01,9,58
2013-11-01,9,54
2013-12-01,8,62
2014-01-01,10,78
2014-02-01,9,58
2014-03-01,10,61
2014-04-01,10,57
2014-05-01,7,57
2014-06-01,11,61
2014-07-01,8,74
2014-08-01,8,64
2014-09-01,9,51
2014-10-01,9,51
2014-11-01,7,51
2014-12-01,10,54
2015-01-01,8,58
2015-02-01,8,41
2015-03-01,7,50
2015-04-01,6,51
2015-05-01,9,58
2015-06-01,7,51
2015-07-01,6,55
2015-08-01,8,52
2015-09-01,7,36
2015-10-01,8,37
2015-11-01,7,37
2015-12-01,7,44
2016-01-01,9,53
2016-02-01,7,38
2016-03-01,9,38
2016-04-01,7,42
2016-05-01,9,40
2016-06-01,8,45
2016-07-01,9,51
2016-08-01,11,48
2016-09-01,8,36
2016-10-01,8,37
2016-11-01,8,38
2016-12-01,11,43
2017-01-01,12,44
