date,deleting youtube account,how to delete a youtube account
2011-01-01,3,33
2011-02-01,7,34
2011-03-01,7,39
2011-04-01,8,32
2011-05-01,4,40
2011-06-01,7,48
2011-07-01,8,57
2011-08-01,8,50
2011-09-01,11,56
2011-10-01,12,54
2011-11-01,6,55
2011-12-01,8,61
2012-01-01,9,52
2012-02-01,9,52
2012-03-01,9,52
2012-04-01,9,67
2012-05-01,8,63
2012-06-01,10,75
2012-07-01,8,87
2012-08-01,9,83
2012-09-01,10,65
2012-10-01,14,47
2012-11-01,10,69
2012-12-01,15,69
2013-01-01,12,78
2013-02-01,14,78
2013-03-01,14,77
2013-04-01,18,70
2013-05-01,14,65
2013-06-01,13,75
2013-07-01,12,89
2013-08-01,14,100
2013-09-01,16,71
2013-10-01,13,64
2013-11-01,14,57
2013-12-01,11,70
2014-01-01,16,72
2014-02-01,10,58
2014-03-01,14,58
2014-04-01,11,68
2014-05-01,10,57
2014-06-01,10,61
2014-07-01,11,67
2014-08-01,12,64
2014-09-01,12,54
2014-10-01,10,49
2014-11-01,10,45
2014-12-01,10,49
2015-01-01,10,58
2015-02-01,11,47
2015-03-01,6,49
2015-04-01,9,52
2015-05-01,11,52
2015-06-01,8,55
2015-07-01,9,56
2015-08-01,8,52
2015-09-01,9,42
2015-10-01,7,41
2015-11-01,8,37
2015-12-01,7,51
2016-01-01,6,49
2016-02-01,7,43
2016-03-01,7,43
2016-04-01,6,38
2016-05-01,6,41
2016-06-01,5,52
2016-07-01,5,51
2016-08-01,7,45
2016-09-01,5,38
2016-10-01,6,40
2016-11-01,6,36
2016-12-01,8,47
2017-01-01,8,44
