date,how to delete youtube account,how to delete a youtube account
2011-01-01,36,13
2011-02-01,35,15
2011-03-01,36,17
2011-04-01,36,13
2011-05-01,37,14
2011-06-01,44,17
2011-07-01,58,22
2011-08-01,58,20
2011-09-01,55,24
2011-10-01,57,20
2011-11-01,65,25
2011-12-01,73,26
2012-01-01,67,25
2012-02-01,62,21
2012-03-01,65,21
2012-04-01,75,26
2012-05-01,71,24
2012-06-01,80,29
2012-07-01,85,33
2012-08-01,88,33
2012-09-01,67,22
2012-10-01,62,21
2012-11-01,73,26
2012-12-01,79,25
2013-01-01,84,31
2013-02-01,84,31
2013-03-01,76,26
2013-04-01,81,27
2013-05-01,79,26
2013-06-01,87,31
2013-07-01,94,35
2013-08-01,100,41
2013-09-01,76,27
2013-10-01,70,23
2013-11-01,69,21
2013-12-01,71,26
2014-01-01,76,30
2014-02-01,64,22
2014-03-01,69,24
2014-04-01,63,23
2014-05-01,61,22
2014-06-01,60,23
2014-07-01,75,29
2014-08-01,74,27
2014-09-01,60,19
2014-10-01,58,20
2014-11-01,58,20
2014-12-01,61,22
2015-01-01,62,24
2015-02-01,54,17
2015-03-01,56,20
2015-04-01,56,19
2015-05-01,55,22
2015-06-01,57,20
2015-07-01,68,20
2015-08-01,62,19
2015-09-01,48,16
2015-10-01,47,15
2015-11-01,46,16
2015-12-01,53,17
2016-01-01,57,20
2016-02-01,49,17
2016-03-01,49,16
2016-04-01,47,17
2016-05-01,46,16
2016-06-01,53,18
2016-07-01,61,19
2016-08-01,55,18
2016-09-01,49,14
2016-10-01,48,14
2016-11-01,46,15
2016-12-01,57,18
2017-01-01,56,17
