date,Account delete youtube,how to delete a youtube account
2011-01-01,40,9
2011-02-01,43,9
2011-03-01,44,11
2011-04-01,45,9
2011-05-01,39,11
2011-06-01,55,13
2011-07-01,65,16
2011-08-01,66,14
2011-09-01,65,15
2011-10-01,66,15
2011-11-01,71,15
2011-12-01,81,17
2012-01-01,75,15
2012-02-01,64,14
2012-03-01,68,14
2012-04-01,74,19
2012-05-01,76,18
2012-06-01,83,21
2012-07-01,87,24
2012-08-01,87,23
2012-09-01,71,18
2012-10-01,71,13
2012-11-01,75,19
2012-12-01,86,19
2013-01-01,91,22
2013-02-01,85,22
2013-03-01,87,21
2013-04-01,84,19
2013-05-01,84,18
2013-06-01,89,21
2013-07-01,93,25
2013-08-01,100,28
2013-09-01,82,20
2013-10-01,76,18
2013-11-01,74,16
2013-12-01,74,19
2014-01-01,78,20
2014-02-01,68,16
2014-03-01,76,16
2014-04-01,65,19
2014-05-01,62,16
2014-06-01,65,17
2014-07-01,77,19
2014-08-01,74,18
2014-09-01,62,15
2014-10-01,60,14
2014-11-01,63,12
2014-12-01,65,14
2015-01-01,67,16
2015-02-01,58,13
2015-03-01,56,14
2015-04-01,57,14
2015-05-01,57,15
2015-06-01,60,15
2015-07-01,65,16
2015-08-01,63,14
2015-09-01,52,12
2015-10-01,51,11
2015-11-01,50,10
2015-12-01,59,14
2016-01-01,59,14
2016-02-01,54,12
2016-03-01,51,12
2016-04-01,52,11
2016-05-01,49,11
2016-06-01,55,14
2016-07-01,61,14
2016-08-01,56,13
2016-09-01,52,11
2016-10-01,49,11
2016-11-01,50,10
2016-12-01,56,13
2017-01-01,57,12
