date,duckduckgo search engine
2011-01-01,4
2011-02-01,11
2011-03-01,7
2011-04-01,12
2011-05-01,8
2011-06-01,19
2011-07-01,7
2011-08-01,19
2011-09-01,18
2011-10-01,24
2011-11-01,25
2011-12-01,26
2012-01-01,53
2012-02-01,52
2012-03-01,62
2012-04-01,45
2012-05-01,38
2012-06-01,30
2012-07-01,29
2012-08-01,34
2012-09-01,39
2012-10-01,26
2012-11-01,37
2012-12-01,42
2013-01-01,38
2013-02-01,38
2013-03-01,30
2013-04-01,49
2013-05-01,38
2013-06-01,86
2013-07-01,91
2013-08-01,68
2013-09-01,65
2013-10-01,63
2013-11-01,69
2013-12-01,69
2014-01-01,80
2014-02-01,64
2014-03-01,63
2014-04-01,51
2014-05-01,98
2014-06-01,72
2014-07-01,59
2014-08-01,63
2014-09-01,88
2014-10-01,71
2014-11-01,87
2014-12-01,71
2015-01-01,55
2015-02-01,66
2015-03-01,62
2015-04-01,81
2015-05-01,60
2015-06-01,67
2015-07-01,64
2015-08-01,58
2015-09-01,76
2015-10-01,83
2015-11-01,80
2015-12-01,82
2016-01-01,71
2016-02-01,74
2016-03-01,69
2016-04-01,59
2016-05-01,59
2016-06-01,73
2016-07-01,80
2016-08-01,78
2016-09-01,92
2016-10-01,88
2016-11-01,81
2016-12-01,83
2017-01-01,100
