date,most private browser
2011-01-01,44
2011-02-01,23
2011-03-01,51
2011-04-01,22
2011-05-01,31
2011-06-01,74
2011-07-01,42
2011-08-01,69
2011-09-01,19
2011-10-01,91
2011-11-01,19
2011-12-01,27
2012-01-01,50
2012-02-01,70
2012-03-01,65
2012-04-01,34
2012-05-01,16
2012-06-01,25
2012-07-01,33
2012-08-01,32
2012-09-01,24
2012-10-01,65
2012-11-01,15
2012-12-01,29
2013-01-01,33
2013-02-01,59
2013-03-01,33
2013-04-01,53
2013-05-01,52
2013-06-01,73
2013-07-01,52
2013-08-01,84
2013-09-01,57
2013-10-01,36
2013-11-01,43
2013-12-01,74
2014-01-01,63
2014-02-01,25
2014-03-01,34
2014-04-01,88
2014-05-01,100
2014-06-01,53
2014-07-01,83
2014-08-01,45
2014-09-01,97
2014-10-01,46
2014-11-01,53
2014-12-01,88
2015-01-01,82
2015-02-01,41
2015-03-01,70
2015-04-01,89
2015-05-01,86
2015-06-01,44
2015-07-01,87
2015-08-01,85
2015-09-01,74
2015-10-01,79
2015-11-01,92
2015-12-01,93
2016-01-01,83
2016-02-01,54
2016-03-01,82
2016-04-01,71
2016-05-01,74
2016-06-01,90
2016-07-01,67
2016-08-01,47
2016-09-01,69
2016-10-01,79
2016-11-01,70
2016-12-01,35
2017-01-01,96
