date,incognito chrome
2011-01-01,35
2011-02-01,44
2011-03-01,37
2011-04-01,39
2011-05-01,41
2011-06-01,44
2011-07-01,48
2011-08-01,50
2011-09-01,45
2011-10-01,49
2011-11-01,51
2011-12-01,51
2012-01-01,55
2012-02-01,61
2012-03-01,60
2012-04-01,59
2012-05-01,69
2012-06-01,66
2012-07-01,75
2012-08-01,80
2012-09-01,75
2012-10-01,76
2012-11-01,65
2012-12-01,67
2013-01-01,69
2013-02-01,72
2013-03-01,68
2013-04-01,85
2013-05-01,81
2013-06-01,86
2013-07-01,88
2013-08-01,87
2013-09-01,81
2013-10-01,81
2013-11-01,87
2013-12-01,84
2014-01-01,93
2014-02-01,98
2014-03-01,85
2014-04-01,84
2014-05-01,80
2014-06-01,85
2014-07-01,92
2014-08-01,92
2014-09-01,90
2014-10-01,90
2014-11-01,82
2014-12-01,86
2015-01-01,100
2015-02-01,80
2015-03-01,77
2015-04-01,81
2015-05-01,79
2015-06-01,79
2015-07-01,83
2015-08-01,85
2015-09-01,85
2015-10-01,77
2015-11-01,72
2015-12-01,76
2016-01-01,79
2016-02-01,73
2016-03-01,76
2016-04-01,74
2016-05-01,77
2016-06-01,73
2016-07-01,74
2016-08-01,79
2016-09-01,95
2016-10-01,78
2016-11-01,85
2016-12-01,95
2017-01-01,91
