date,incognito mode safari
2011-01-01,6
2011-02-01,6
2011-03-01,20
2011-04-01,24
2011-05-01,12
2011-06-01,9
2011-07-01,20
2011-08-01,11
2011-09-01,13
2011-10-01,10
2011-11-01,18
2011-12-01,8
2012-01-01,30
2012-02-01,10
2012-03-01,9
2012-04-01,7
2012-05-01,22
2012-06-01,16
2012-07-01,30
2012-08-01,72
2012-09-01,53
2012-10-01,63
2012-11-01,56
2012-12-01,56
2013-01-01,34
2013-02-01,37
2013-03-01,46
2013-04-01,50
2013-05-01,54
2013-06-01,75
2013-07-01,81
2013-08-01,87
2013-09-01,63
2013-10-01,52
2013-11-01,65
2013-12-01,99
2014-01-01,54
2014-02-01,70
2014-03-01,68
2014-04-01,88
2014-05-01,64
2014-06-01,68
2014-07-01,84
2014-08-01,89
2014-09-01,92
2014-10-01,98
2014-11-01,84
2014-12-01,76
2015-01-01,76
2015-02-01,91
2015-03-01,59
2015-04-01,71
2015-05-01,92
2015-06-01,75
2015-07-01,68
2015-08-01,82
2015-09-01,74
2015-10-01,91
2015-11-01,80
2015-12-01,81
2016-01-01,61
2016-02-01,70
2016-03-01,74
2016-04-01,99
2016-05-01,85
2016-06-01,82
2016-07-01,68
2016-08-01,71
2016-09-01,97
2016-10-01,100
2016-11-01,74
2016-12-01,69
2017-01-01,74
