date,private browsing safari
2011-01-01,24
2011-02-01,20
2011-03-01,22
2011-04-01,24
2011-05-01,26
2011-06-01,26
2011-07-01,35
2011-08-01,35
2011-09-01,26
2011-10-01,48
2011-11-01,40
2011-12-01,42
2012-01-01,41
2012-02-01,35
2012-03-01,41
2012-04-01,37
2012-05-01,34
2012-06-01,37
2012-07-01,41
2012-08-01,39
2012-09-01,40
2012-10-01,34
2012-11-01,32
2012-12-01,37
2013-01-01,38
2013-02-01,35
2013-03-01,30
2013-04-01,31
2013-05-01,33
2013-06-01,36
2013-07-01,37
2013-08-01,31
2013-09-01,98
2013-10-01,81
2013-11-01,64
2013-12-01,70
2014-01-01,65
2014-02-01,49
2014-03-01,49
2014-04-01,47
2014-05-01,49
2014-06-01,51
2014-07-01,49
2014-08-01,52
2014-09-01,64
2014-10-01,100
2014-11-01,77
2014-12-01,56
2015-01-01,52
2015-02-01,45
2015-03-01,45
2015-04-01,44
2015-05-01,35
2015-06-01,36
2015-07-01,37
2015-08-01,39
2015-09-01,35
2015-10-01,36
2015-11-01,34
2015-12-01,38
2016-01-01,34
2016-02-01,29
2016-03-01,30
2016-04-01,32
2016-05-01,29
2016-06-01,28
2016-07-01,27
2016-08-01,30
2016-09-01,31
2016-10-01,32
2016-11-01,25
2016-12-01,24
2017-01-01,24
