date,my search history
2011-01-01,20
2011-02-01,20
2011-03-01,18
2011-04-01,18
2011-05-01,20
2011-06-01,23
2011-07-01,24
2011-08-01,25
2011-09-01,27
2011-10-01,23
2011-11-01,24
2011-12-01,23
2012-01-01,25
2012-02-01,28
2012-03-01,28
2012-04-01,25
2012-05-01,28
2012-06-01,28
2012-07-01,29
2012-08-01,32
2012-09-01,31
2012-10-01,34
2012-11-01,31
2012-12-01,34
2013-01-01,38
2013-02-01,37
2013-03-01,38
2013-04-01,37
2013-05-01,37
2013-06-01,39
2013-07-01,41
2013-08-01,45
2013-09-01,42
2013-10-01,40
2013-11-01,41
2013-12-01,43
2014-01-01,46
2014-02-01,48
2014-03-01,46
2014-04-01,46
2014-05-01,46
2014-06-01,43
2014-07-01,48
2014-08-01,46
2014-09-01,45
2014-10-01,51
2014-11-01,50
2014-12-01,53
2015-01-01,49
2015-02-01,51
2015-03-01,51
2015-04-01,65
2015-05-01,55
2015-06-01,57
2015-07-01,58
2015-08-01,61
2015-09-01,60
2015-10-01,64
2015-11-01,63
2015-12-01,68
2016-01-01,67
2016-02-01,72
2016-03-01,71
2016-04-01,75
2016-05-01,71
2016-06-01,100
2016-07-01,87
2016-08-01,85
2016-09-01,84
2016-10-01,80
2016-11-01,79
2016-12-01,81
2017-01-01,79
