date,how to turn off private browsing on ipad
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,3
2011-10-01,3
2011-11-01,3
2011-12-01,3
2012-01-01,3
2012-02-01,3
2012-03-01,5
2012-04-01,2
2012-05-01,2
2012-06-01,2
2012-07-01,2
2012-08-01,2
2012-09-01,2
2012-10-01,3
2012-11-01,2
2012-12-01,2
2013-01-01,2
2013-02-01,2
2013-03-01,2
2013-04-01,2
2013-05-01,2
2013-06-01,2
2013-07-01,5
2013-08-01,4
2013-09-01,18
2013-10-01,37
2013-11-01,39
2013-12-01,61
2014-01-01,71
2014-02-01,53
2014-03-01,53
2014-04-01,42
2014-05-01,97
2014-06-01,100
2014-07-01,92
2014-08-01,98
2014-09-01,79
2014-10-01,70
2014-11-01,50
2014-12-01,39
2015-01-01,45
2015-02-01,46
2015-03-01,35
2015-04-01,39
2015-05-01,35
2015-06-01,41
2015-07-01,32
2015-08-01,42
2015-09-01,40
2015-10-01,29
2015-11-01,36
2015-12-01,23
2016-01-01,29
2016-02-01,16
2016-03-01,18
2016-04-01,15
2016-05-01,12
2016-06-01,16
2016-07-01,16
2016-08-01,14
2016-09-01,13
2016-10-01,17
2016-11-01,16
2016-12-01,11
2017-01-01,10
