date,tor browser mac
2011-01-01,11
2011-02-01,6
2011-03-01,10
2011-04-01,9
2011-05-01,9
2011-06-01,17
2011-07-01,15
2011-08-01,17
2011-09-01,19
2011-10-01,15
2011-11-01,21
2011-12-01,24
2012-01-01,22
2012-02-01,31
2012-03-01,27
2012-04-01,29
2012-05-01,35
2012-06-01,39
2012-07-01,27
2012-08-01,40
2012-09-01,44
2012-10-01,52
2012-11-01,50
2012-12-01,45
2013-01-01,47
2013-02-01,48
2013-03-01,65
2013-04-01,56
2013-05-01,55
2013-06-01,59
2013-07-01,52
2013-08-01,72
2013-09-01,66
2013-10-01,72
2013-11-01,81
2013-12-01,87
2014-01-01,84
2014-02-01,82
2014-03-01,91
2014-04-01,78
2014-05-01,90
2014-06-01,80
2014-07-01,88
2014-08-01,87
2014-09-01,96
2014-10-01,99
2014-11-01,83
2014-12-01,89
2015-01-01,80
2015-02-01,75
2015-03-01,81
2015-04-01,75
2015-05-01,59
2015-06-01,58
2015-07-01,65
2015-08-01,100
2015-09-01,82
2015-10-01,85
2015-11-01,94
2015-12-01,84
2016-01-01,86
2016-02-01,83
2016-03-01,77
2016-04-01,76
2016-05-01,69
2016-06-01,69
2016-07-01,74
2016-08-01,83
2016-09-01,75
2016-10-01,81
2016-11-01,83
2016-12-01,75
2017-01-01,93
