date,new incognito tab
2011-01-01,0
2011-02-01,12
2011-03-01,7
2011-04-01,10
2011-05-01,8
2011-06-01,11
2011-07-01,14
2011-08-01,8
2011-09-01,12
2011-10-01,15
2011-11-01,17
2011-12-01,10
2012-01-01,10
2012-02-01,11
2012-03-01,9
2012-04-01,14
2012-05-01,19
2012-06-01,12
2012-07-01,19
2012-08-01,26
2012-09-01,23
2012-10-01,24
2012-11-01,35
2012-12-01,13
2013-01-01,24
2013-02-01,25
2013-03-01,22
2013-04-01,20
2013-05-01,29
2013-06-01,31
2013-07-01,30
2013-08-01,40
2013-09-01,41
2013-10-01,22
2013-11-01,43
2013-12-01,40
2014-01-01,36
2014-02-01,27
2014-03-01,33
2014-04-01,22
2014-05-01,47
2014-06-01,30
2014-07-01,44
2014-08-01,49
2014-09-01,39
2014-10-01,41
2014-11-01,52
2014-12-01,47
2015-01-01,58
2015-02-01,39
2015-03-01,37
2015-04-01,48
2015-05-01,63
2015-06-01,63
2015-07-01,62
2015-08-01,52
2015-09-01,80
2015-10-01,71
2015-11-01,73
2015-12-01,76
2016-01-01,79
2016-02-01,76
2016-03-01,75
2016-04-01,76
2016-05-01,77
2016-06-01,69
2016-07-01,74
2016-08-01,69
2016-09-01,91
2016-10-01,87
2016-11-01,95
2016-12-01,100
2017-01-01,96
