date,open incognito mode
2011-01-01,11
2011-02-01,12
2011-03-01,16
2011-04-01,19
2011-05-01,16
2011-06-01,6
2011-07-01,13
2011-08-01,15
2011-09-01,10
2011-10-01,9
2011-11-01,21
2011-12-01,8
2012-01-01,16
2012-02-01,12
2012-03-01,20
2012-04-01,13
2012-05-01,18
2012-06-01,21
2012-07-01,28
2012-08-01,36
2012-09-01,19
2012-10-01,19
2012-11-01,25
2012-12-01,30
2013-01-01,38
2013-02-01,22
2013-03-01,31
2013-04-01,31
2013-05-01,31
2013-06-01,36
2013-07-01,37
2013-08-01,35
2013-09-01,36
2013-10-01,30
2013-11-01,45
2013-12-01,55
2014-01-01,46
2014-02-01,58
2014-03-01,45
2014-04-01,39
2014-05-01,45
2014-06-01,54
2014-07-01,53
2014-08-01,54
2014-09-01,59
2014-10-01,66
2014-11-01,57
2014-12-01,60
2015-01-01,62
2015-02-01,68
2015-03-01,45
2015-04-01,70
2015-05-01,74
2015-06-01,67
2015-07-01,65
2015-08-01,65
2015-09-01,82
2015-10-01,82
2015-11-01,76
2015-12-01,96
2016-01-01,72
2016-02-01,80
2016-03-01,80
2016-04-01,77
2016-05-01,88
2016-06-01,75
2016-07-01,83
2016-08-01,86
2016-09-01,91
2016-10-01,85
2016-11-01,100
2016-12-01,89
2017-01-01,96
