date,private search engine
2011-01-01,55
2011-02-01,57
2011-03-01,48
2011-04-01,50
2011-05-01,42
2011-06-01,47
2011-07-01,32
2011-08-01,54
2011-09-01,35
2011-10-01,40
2011-11-01,36
2011-12-01,33
2012-01-01,73
2012-02-01,90
2012-03-01,92
2012-04-01,58
2012-05-01,73
2012-06-01,68
2012-07-01,60
2012-08-01,65
2012-09-01,73
2012-10-01,55
2012-11-01,66
2012-12-01,60
2013-01-01,57
2013-02-01,58
2013-03-01,52
2013-04-01,73
2013-05-01,50
2013-06-01,98
2013-07-01,100
2013-08-01,91
2013-09-01,81
2013-10-01,76
2013-11-01,79
2013-12-01,77
2014-01-01,87
2014-02-01,74
2014-03-01,80
2014-04-01,82
2014-05-01,73
2014-06-01,86
2014-07-01,72
2014-08-01,72
2014-09-01,78
2014-10-01,80
2014-11-01,76
2014-12-01,71
2015-01-01,73
2015-02-01,60
2015-03-01,54
2015-04-01,69
2015-05-01,67
2015-06-01,78
2015-07-01,68
2015-08-01,66
2015-09-01,66
2015-10-01,69
2015-11-01,70
2015-12-01,63
2016-01-01,72
2016-02-01,63
2016-03-01,64
2016-04-01,61
2016-05-01,63
2016-06-01,56
2016-07-01,65
2016-08-01,60
2016-09-01,57
2016-10-01,62
2016-11-01,57
2016-12-01,56
2017-01-01,57
