date,how to turn on private browsing on iphone
2011-01-01,0
2011-02-01,0
2011-03-01,3
2011-04-01,3
2011-05-01,3
2011-06-01,3
2011-07-01,3
2011-08-01,3
2011-09-01,3
2011-10-01,3
2011-11-01,3
2011-12-01,3
2012-01-01,2
2012-02-01,3
2012-03-01,5
2012-04-01,2
2012-05-01,3
2012-06-01,2
2012-07-01,2
2012-08-01,4
2012-09-01,5
2012-10-01,2
2012-11-01,3
2012-12-01,4
2013-01-01,2
2013-02-01,5
2013-03-01,4
2013-04-01,4
2013-05-01,4
2013-06-01,4
2013-07-01,2
2013-08-01,5
2013-09-01,41
2013-10-01,56
2013-11-01,36
2013-12-01,70
2014-01-01,67
2014-02-01,57
2014-03-01,59
2014-04-01,57
2014-05-01,90
2014-06-01,75
2014-07-01,89
2014-08-01,100
2014-09-01,86
2014-10-01,50
2014-11-01,55
2014-12-01,53
2015-01-01,44
2015-02-01,42
2015-03-01,60
2015-04-01,62
2015-05-01,34
2015-06-01,42
2015-07-01,39
2015-08-01,52
2015-09-01,48
2015-10-01,53
2015-11-01,49
2015-12-01,51
2016-01-01,44
2016-02-01,26
2016-03-01,20
2016-04-01,20
2016-05-01,25
2016-06-01,22
2016-07-01,22
2016-08-01,21
2016-09-01,20
2016-10-01,31
2016-11-01,29
2016-12-01,23
2017-01-01,22
