date,how to turn on private browsing
2011-01-01,4
2011-02-01,5
2011-03-01,4
2011-04-01,8
2011-05-01,8
2011-06-01,5
2011-07-01,6
2011-08-01,9
2011-09-01,15
2011-10-01,15
2011-11-01,6
2011-12-01,11
2012-01-01,8
2012-02-01,8
2012-03-01,11
2012-04-01,12
2012-05-01,10
2012-06-01,8
2012-07-01,12
2012-08-01,15
2012-09-01,12
2012-10-01,10
2012-11-01,12
2012-12-01,11
2013-01-01,11
2013-02-01,15
2013-03-01,17
2013-04-01,16
2013-05-01,16
2013-06-01,17
2013-07-01,14
2013-08-01,14
2013-09-01,70
2013-10-01,77
2013-11-01,64
2013-12-01,89
2014-01-01,85
2014-02-01,75
2014-03-01,67
2014-04-01,70
2014-05-01,88
2014-06-01,100
2014-07-01,100
2014-08-01,98
2014-09-01,95
2014-10-01,83
2014-11-01,72
2014-12-01,65
2015-01-01,67
2015-02-01,67
2015-03-01,61
2015-04-01,56
2015-05-01,57
2015-06-01,56
2015-07-01,51
2015-08-01,55
2015-09-01,52
2015-10-01,48
2015-11-01,48
2015-12-01,52
2016-01-01,49
2016-02-01,34
2016-03-01,31
2016-04-01,28
2016-05-01,30
2016-06-01,30
2016-07-01,29
2016-08-01,25
2016-09-01,30
2016-10-01,30
2016-11-01,32
2016-12-01,29
2017-01-01,27
