date,open incognito tab
2011-01-01,7
2011-02-01,9
2011-03-01,6
2011-04-01,8
2011-05-01,7
2011-06-01,5
2011-07-01,8
2011-08-01,5
2011-09-01,6
2011-10-01,8
2011-11-01,7
2011-12-01,5
2012-01-01,5
2012-02-01,3
2012-03-01,7
2012-04-01,6
2012-05-01,7
2012-06-01,6
2012-07-01,12
2012-08-01,15
2012-09-01,15
2012-10-01,9
2012-11-01,14
2012-12-01,12
2013-01-01,17
2013-02-01,15
2013-03-01,24
2013-04-01,14
2013-05-01,25
2013-06-01,31
2013-07-01,46
2013-08-01,48
2013-09-01,32
2013-10-01,36
2013-11-01,35
2013-12-01,44
2014-01-01,48
2014-02-01,56
2014-03-01,43
2014-04-01,42
2014-05-01,37
2014-06-01,38
2014-07-01,48
2014-08-01,51
2014-09-01,45
2014-10-01,61
2014-11-01,42
2014-12-01,53
2015-01-01,46
2015-02-01,41
2015-03-01,48
2015-04-01,57
2015-05-01,50
2015-06-01,69
2015-07-01,68
2015-08-01,64
2015-09-01,84
2015-10-01,84
2015-11-01,84
2015-12-01,100
2016-01-01,94
2016-02-01,83
2016-03-01,92
2016-04-01,80
2016-05-01,97
2016-06-01,94
2016-07-01,80
2016-08-01,68
2016-09-01,79
2016-10-01,82
2016-11-01,88
2016-12-01,87
2017-01-01,90
