date,ixquick search engine
2011-01-01,31
2011-02-01,20
2011-03-01,20
2011-04-01,19
2011-05-01,33
2011-06-01,20
2011-07-01,12
2011-08-01,9
2011-09-01,20
2011-10-01,17
2011-11-01,27
2011-12-01,7
2012-01-01,40
2012-02-01,47
2012-03-01,37
2012-04-01,22
2012-05-01,21
2012-06-01,13
2012-07-01,25
2012-08-01,14
2012-09-01,22
2012-10-01,21
2012-11-01,29
2012-12-01,23
2013-01-01,43
2013-02-01,37
2013-03-01,25
2013-04-01,34
2013-05-01,29
2013-06-01,63
2013-07-01,51
2013-08-01,41
2013-09-01,40
2013-10-01,38
2013-11-01,35
2013-12-01,39
2014-01-01,43
2014-02-01,49
2014-03-01,51
2014-04-01,43
2014-05-01,84
2014-06-01,53
2014-07-01,39
2014-08-01,47
2014-09-01,100
2014-10-01,47
2014-11-01,50
2014-12-01,33
2015-01-01,31
2015-02-01,27
2015-03-01,90
2015-04-01,32
2015-05-01,28
2015-06-01,22
2015-07-01,20
2015-08-01,27
2015-09-01,29
2015-10-01,42
2015-11-01,36
2015-12-01,23
2016-01-01,29
2016-02-01,32
2016-03-01,45
2016-04-01,32
2016-05-01,26
2016-06-01,23
2016-07-01,21
2016-08-01,33
2016-09-01,23
2016-10-01,23
2016-11-01,16
2016-12-01,24
2017-01-01,14
