date,private browsing iphone history
2011-01-01,7
2011-02-01,14
2011-03-01,9
2011-04-01,20
2011-05-01,13
2011-06-01,9
2011-07-01,13
2011-08-01,8
2011-09-01,6
2011-10-01,21
2011-11-01,15
2011-12-01,22
2012-01-01,24
2012-02-01,32
2012-03-01,18
2012-04-01,30
2012-05-01,26
2012-06-01,34
2012-07-01,18
2012-08-01,38
2012-09-01,31
2012-10-01,34
2012-11-01,42
2012-12-01,30
2013-01-01,30
2013-02-01,35
2013-03-01,36
2013-04-01,37
2013-05-01,43
2013-06-01,25
2013-07-01,40
2013-08-01,41
2013-09-01,47
2013-10-01,57
2013-11-01,49
2013-12-01,53
2014-01-01,62
2014-02-01,51
2014-03-01,71
2014-04-01,53
2014-05-01,59
2014-06-01,71
2014-07-01,100
2014-08-01,65
2014-09-01,76
2014-10-01,48
2014-11-01,45
2014-12-01,59
2015-01-01,62
2015-02-01,51
2015-03-01,67
2015-04-01,61
2015-05-01,55
2015-06-01,77
2015-07-01,63
2015-08-01,67
2015-09-01,75
2015-10-01,74
2015-11-01,62
2015-12-01,93
2016-01-01,85
2016-02-01,72
2016-03-01,57
2016-04-01,71
2016-05-01,67
2016-06-01,85
2016-07-01,92
2016-08-01,86
2016-09-01,79
2016-10-01,92
2016-11-01,81
2016-12-01,74
2017-01-01,77
