date,how to look at someones text messages online
2011-01-01,0
2011-02-01,47
2011-03-01,42
2011-04-01,56
2011-05-01,71
2011-06-01,85
2011-07-01,100
2011-08-01,54
2011-09-01,59
2011-10-01,37
2011-11-01,38
2011-12-01,74
2012-01-01,35
2012-02-01,35
2012-03-01,34
2012-04-01,53
2012-05-01,51
2012-06-01,51
2012-07-01,50
2012-08-01,66
2012-09-01,33
2012-10-01,40
2012-11-01,60
2012-12-01,90
2013-01-01,41
2013-02-01,31
2013-03-01,27
2013-04-01,27
2013-05-01,40
2013-06-01,27
2013-07-01,31
2013-08-01,35
2013-09-01,39
2013-10-01,74
2013-11-01,25
2013-12-01,38
2014-01-01,70
2014-02-01,38
2014-03-01,23
2014-04-01,24
2014-05-01,52
2014-06-01,80
2014-07-01,78
2014-08-01,35
2014-09-01,25
2014-10-01,24
2014-11-01,57
2014-12-01,32
2015-01-01,45
2015-02-01,48
2015-03-01,44
2015-04-01,68
2015-05-01,55
2015-06-01,30
2015-07-01,37
2015-08-01,29
2015-09-01,43
2015-10-01,41
2015-11-01,28
2015-12-01,42
2016-01-01,33
2016-02-01,50
2016-03-01,56
2016-04-01,45
2016-05-01,31
2016-06-01,29
2016-07-01,19
2016-08-01,25
2016-09-01,31
2016-10-01,36
2016-11-01,30
2016-12-01,24
2017-01-01,68
