date,phone tap detectors
2011-01-01,85
2011-02-01,80
2011-03-01,80
2011-04-01,80
2011-05-01,80
2011-06-01,82
2011-07-01,82
2011-08-01,72
2011-09-01,72
2011-10-01,72
2011-11-01,72
2011-12-01,64
2012-01-01,64
2012-02-01,64
2012-03-01,64
2012-04-01,64
2012-05-01,64
2012-06-01,64
2012-07-01,74
2012-08-01,83
2012-09-01,93
2012-10-01,57
2012-11-01,57
2012-12-01,57
2013-01-01,52
2013-02-01,58
2013-03-01,61
2013-04-01,64
2013-05-01,67
2013-06-01,51
2013-07-01,51
2013-08-01,50
2013-09-01,100
2013-10-01,47
2013-11-01,45
2013-12-01,45
2014-01-01,45
2014-02-01,44
2014-03-01,44
2014-04-01,46
2014-05-01,92
2014-06-01,49
2014-07-01,49
2014-08-01,45
2014-09-01,45
2014-10-01,45
2014-11-01,45
2014-12-01,46
2015-01-01,42
2015-02-01,42
2015-03-01,42
2015-04-01,43
2015-05-01,42
2015-06-01,43
2015-07-01,42
2015-08-01,51
2015-09-01,60
2015-10-01,70
2015-11-01,79
2015-12-01,37
2016-01-01,37
2016-02-01,37
2016-03-01,37
2016-04-01,37
2016-05-01,37
2016-06-01,37
2016-07-01,54
2016-08-01,72
2016-09-01,36
2016-10-01,34
2016-11-01,34
2016-12-01,42
2017-01-01,49
