date,how to tell if your phone is tapped by police
2011-01-01,28
2011-02-01,27
2011-03-01,27
2011-04-01,29
2011-05-01,27
2011-06-01,28
2011-07-01,68
2011-08-01,26
2011-09-01,24
2011-10-01,24
2011-11-01,23
2011-12-01,23
2012-01-01,21
2012-02-01,22
2012-03-01,21
2012-04-01,21
2012-05-01,21
2012-06-01,43
2012-07-01,32
2012-08-01,42
2012-09-01,41
2012-10-01,29
2012-11-01,25
2012-12-01,19
2013-01-01,17
2013-02-01,19
2013-03-01,34
2013-04-01,34
2013-05-01,39
2013-06-01,29
2013-07-01,34
2013-08-01,17
2013-09-01,17
2013-10-01,55
2013-11-01,40
2013-12-01,32
2014-01-01,15
2014-02-01,16
2014-03-01,43
2014-04-01,45
2014-05-01,23
2014-06-01,28
2014-07-01,27
2014-08-01,50
2014-09-01,24
2014-10-01,25
2014-11-01,16
2014-12-01,15
2015-01-01,29
2015-02-01,15
2015-03-01,19
2015-04-01,14
2015-05-01,19
2015-06-01,48
2015-07-01,23
2015-08-01,42
2015-09-01,27
2015-10-01,26
2015-11-01,40
2015-12-01,77
2016-01-01,25
2016-02-01,55
2016-03-01,59
2016-04-01,45
2016-05-01,51
2016-06-01,41
2016-07-01,41
2016-08-01,28
2016-09-01,40
2016-10-01,69
2016-11-01,100
2016-12-01,69
2017-01-01,87
