date,how to tell if your landline phone is tapped
2011-01-01,0
2011-02-01,70
2011-03-01,62
2011-04-01,68
2011-05-01,64
2011-06-01,64
2011-07-01,64
2011-08-01,60
2011-09-01,59
2011-10-01,56
2011-11-01,55
2011-12-01,55
2012-01-01,51
2012-02-01,52
2012-03-01,49
2012-04-01,49
2012-05-01,49
2012-06-01,74
2012-07-01,100
2012-08-01,49
2012-09-01,49
2012-10-01,67
2012-11-01,45
2012-12-01,44
2013-01-01,56
2013-02-01,67
2013-03-01,40
2013-04-01,40
2013-05-01,39
2013-06-01,41
2013-07-01,39
2013-08-01,39
2013-09-01,39
2013-10-01,37
2013-11-01,38
2013-12-01,38
2014-01-01,35
2014-02-01,35
2014-03-01,35
2014-04-01,36
2014-05-01,36
2014-06-01,40
2014-07-01,39
2014-08-01,39
2014-09-01,35
2014-10-01,35
2014-11-01,36
2014-12-01,54
2015-01-01,67
2015-02-01,60
2015-03-01,34
2015-04-01,34
2015-05-01,33
2015-06-01,33
2015-07-01,33
2015-08-01,49
2015-09-01,64
2015-10-01,61
2015-11-01,31
2015-12-01,31
2016-01-01,30
2016-02-01,45
2016-03-01,29
2016-04-01,29
2016-05-01,44
2016-06-01,58
2016-07-01,43
2016-08-01,57
2016-09-01,28
2016-10-01,27
2016-11-01,54
2016-12-01,27
2017-01-01,51
