date,how to read whatsapp database on android
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,51
2012-11-01,51
2012-12-01,51
2013-01-01,51
2013-02-01,51
2013-03-01,46
2013-04-01,46
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,0
2013-10-01,42
2013-11-01,42
2013-12-01,43
2014-01-01,39
2014-02-01,39
2014-03-01,39
2014-04-01,40
2014-05-01,61
2014-06-01,45
2014-07-01,88
2014-08-01,44
2014-09-01,64
2014-10-01,40
2014-11-01,41
2014-12-01,81
2015-01-01,38
2015-02-01,55
2015-03-01,74
2015-04-01,77
2015-05-01,75
2015-06-01,76
2015-07-01,75
2015-08-01,62
2015-09-01,61
2015-10-01,69
2015-11-01,59
2015-12-01,72
2016-01-01,86
2016-02-01,79
2016-03-01,63
2016-04-01,65
2016-05-01,32
2016-06-01,44
2016-07-01,100
2016-08-01,64
2016-09-01,64
2016-10-01,51
2016-11-01,62
2016-12-01,77
2017-01-01,29
