date,is whatsapp safe to use
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,23
2011-08-01,20
2011-09-01,20
2011-10-01,20
2011-11-01,20
2011-12-01,18
2012-01-01,18
2012-02-01,18
2012-03-01,17
2012-04-01,18
2012-05-01,17
2012-06-01,18
2012-07-01,17
2012-08-01,30
2012-09-01,42
2012-10-01,15
2012-11-01,16
2012-12-01,16
2013-01-01,42
2013-02-01,31
2013-03-01,48
2013-04-01,14
2013-05-01,21
2013-06-01,28
2013-07-01,42
2013-08-01,28
2013-09-01,14
2013-10-01,38
2013-11-01,39
2013-12-01,20
2014-01-01,49
2014-02-01,73
2014-03-01,42
2014-04-01,49
2014-05-01,100
2014-06-01,41
2014-07-01,54
2014-08-01,68
2014-09-01,52
2014-10-01,31
2014-11-01,63
2014-12-01,37
2015-01-01,41
2015-02-01,32
2015-03-01,81
2015-04-01,53
2015-05-01,29
2015-06-01,47
2015-07-01,46
2015-08-01,29
2015-09-01,56
2015-10-01,37
2015-11-01,11
2015-12-01,33
2016-01-01,42
2016-02-01,57
2016-03-01,58
2016-04-01,25
2016-05-01,63
2016-06-01,40
2016-07-01,46
2016-08-01,45
2016-09-01,59
2016-10-01,66
2016-11-01,52
2016-12-01,80
2017-01-01,49
