date,whatsapp security app
2011-01-01,0
2011-02-01,0
2011-03-01,7
2011-04-01,7
2011-05-01,13
2011-06-01,7
2011-07-01,7
2011-08-01,13
2011-09-01,6
2011-10-01,9
2011-11-01,14
2011-12-01,12
2012-01-01,9
2012-02-01,11
2012-03-01,12
2012-04-01,11
2012-05-01,16
2012-06-01,11
2012-07-01,14
2012-08-01,10
2012-09-01,14
2012-10-01,16
2012-11-01,24
2012-12-01,24
2013-01-01,20
2013-02-01,25
2013-03-01,20
2013-04-01,30
2013-05-01,21
2013-06-01,17
2013-07-01,20
2013-08-01,34
2013-09-01,17
2013-10-01,22
2013-11-01,16
2013-12-01,37
2014-01-01,42
2014-02-01,58
2014-03-01,43
2014-04-01,31
2014-05-01,25
2014-06-01,33
2014-07-01,37
2014-08-01,54
2014-09-01,41
2014-10-01,41
2014-11-01,57
2014-12-01,33
2015-01-01,56
2015-02-01,47
2015-03-01,50
2015-04-01,48
2015-05-01,42
2015-06-01,45
2015-07-01,71
2015-08-01,66
2015-09-01,64
2015-10-01,79
2015-11-01,74
2015-12-01,76
2016-01-01,87
2016-02-01,64
2016-03-01,75
2016-04-01,100
2016-05-01,85
2016-06-01,69
2016-07-01,89
2016-08-01,94
2016-09-01,90
2016-10-01,89
2016-11-01,87
2016-12-01,78
2017-01-01,78
