date,facebook security issues
2011-01-01,100
2011-02-01,62
2011-03-01,74
2011-04-01,58
2011-05-01,86
2011-06-01,60
2011-07-01,87
2011-08-01,67
2011-09-01,80
2011-10-01,63
2011-11-01,75
2011-12-01,62
2012-01-01,64
2012-02-01,37
2012-03-01,53
2012-04-01,57
2012-05-01,40
2012-06-01,52
2012-07-01,38
2012-08-01,36
2012-09-01,39
2012-10-01,30
2012-11-01,31
2012-12-01,35
2013-01-01,40
2013-02-01,46
2013-03-01,22
2013-04-01,27
2013-05-01,33
2013-06-01,19
2013-07-01,26
2013-08-01,33
2013-09-01,18
2013-10-01,33
2013-11-01,25
2013-12-01,21
2014-01-01,19
2014-02-01,27
2014-03-01,26
2014-04-01,33
2014-05-01,14
2014-06-01,20
2014-07-01,17
2014-08-01,74
2014-09-01,51
2014-10-01,33
2014-11-01,30
2014-12-01,23
2015-01-01,18
2015-02-01,20
2015-03-01,29
2015-04-01,22
2015-05-01,18
2015-06-01,16
2015-07-01,15
2015-08-01,9
2015-09-01,16
2015-10-01,22
2015-11-01,26
2015-12-01,19
2016-01-01,22
2016-02-01,19
2016-03-01,27
2016-04-01,21
2016-05-01,18
2016-06-01,16
2016-07-01,13
2016-08-01,14
2016-09-01,14
2016-10-01,21
2016-11-01,17
2016-12-01,14
2017-01-01,15
